Feature,MeanAbsSHAP,Normalized_Weight,Rank
Possession_Control,0.38532146436827797,0.22075631723452413,1
Ball_Progression,0.3432576829149919,0.19665736002276032,2
Defensive_Actions,0.2732153229305015,0.1565290648966613,3
Mistake_Rate,0.2624041073270749,0.15033516094336427,4
Midfield_Control,0.21289064323199006,0.12196817130505065,5
Chance_Creation_Index,0.15179873138882202,0.0869677191671856,6
Attacking_Contributions,0.11657269510455448,0.0667862064304536,7
