Role_Cohort,Feature,Weight,Accuracy,Precision,Recall
Full-Back,Defensive_Actions,0.15555235907325776,0.8414772727272728,0.8407283800732543,0.8451818181818183
Full-Back,Progressive_Actions,0.13210810173334167,0.8414772727272728,0.8407283800732543,0.8451818181818183
Full-Back,Passes_Completed_P90,0.12162091521155412,0.8414772727272728,0.8407283800732543,0.8451818181818183
Full-Back,Attacking_Contributions,0.1624295679234842,0.8414772727272728,0.8407283800732543,0.8451818181818183
Full-Back,Mistake_Rate,0.1502360896547678,0.8414772727272728,0.8407283800732543,0.8451818181818183
Full-Back,Total_Carry_Distance,0.1375427368846772,0.8414772727272728,0.8407283800732543,0.8451818181818183
Full-Back,Duel_Efficiency,0.1405102295189172,0.8414772727272728,0.8407283800732543,0.8451818181818183
Centre-Back,Defensive_Actions,0.1401591513239581,0.8287668918918919,0.8417200629999567,0.8617261904761904
Centre-Back,Progressive_Actions,0.13259052055861723,0.8287668918918919,0.8417200629999567,0.8617261904761904
Centre-Back,Passes_Completed_P90,0.14879114660146844,0.8287668918918919,0.8417200629999567,0.8617261904761904
Centre-Back,Attacking_Contributions,0.13981840145762223,0.8287668918918919,0.8417200629999567,0.8617261904761904
Centre-Back,Mistake_Rate,0.14338409414307404,0.8287668918918919,0.8417200629999567,0.8617261904761904
Centre-Back,Total_Carry_Distance,0.14279714720204081,0.8287668918918919,0.8417200629999567,0.8617261904761904
Centre-Back,Duel_Efficiency,0.15245953871321916,0.8287668918918919,0.8417200629999567,0.8617261904761904
