Role_Cohort,Feature,Weight,Accuracy,Precision,Recall
Central Midfield,Chance_Creation_Index,0.07935876005708715,0.6465116279069767,0.5531914893617021,0.6046511627906976
Central Midfield,Attacking_Contributions,0.20427169560530842,0.6465116279069767,0.5531914893617021,0.6046511627906976
Central Midfield,Ball_Progression,0.28353603052557547,0.6465116279069767,0.5531914893617021,0.6046511627906976
Central Midfield,Mistake_Rate,-0.2810160387311861,0.6465116279069767,0.5531914893617021,0.6046511627906976
Central Midfield,Midfield_Control,0.0684178393295706,0.6465116279069767,0.5531914893617021,0.6046511627906976
Central Midfield,Defensive_Actions,-0.007330140818325316,0.6465116279069767,0.5531914893617021,0.6046511627906976
Central Midfield,Possession_Control,0.04099084350569335,0.6465116279069767,0.5531914893617021,0.6046511627906976
Defensive Midfield,Chance_Creation_Index,-0.0773714319408881,0.6929133858267716,0.7586206896551724,0.6376811594202898
Defensive Midfield,Attacking_Contributions,-0.05168845472603587,0.6929133858267716,0.7586206896551724,0.6376811594202898
Defensive Midfield,Ball_Progression,0.5979299630763928,0.6929133858267716,0.7586206896551724,0.6376811594202898
Defensive Midfield,Mistake_Rate,0.13462699335352368,0.6929133858267716,0.7586206896551724,0.6376811594202898
Defensive Midfield,Midfield_Control,-0.21974840865510753,0.6929133858267716,0.7586206896551724,0.6376811594202898
Defensive Midfield,Defensive_Actions,0.3668853782746261,0.6929133858267716,0.7586206896551724,0.6376811594202898
Defensive Midfield,Possession_Control,0.18369755399907386,0.6929133858267716,0.7586206896551724,0.6376811594202898
Attacking Midfield,Chance_Creation_Index,0.08436969566815959,0.6396396396396397,0.5116279069767442,0.5365853658536586
Attacking Midfield,Attacking_Contributions,0.35886106708681154,0.6396396396396397,0.5116279069767442,0.5365853658536586
Attacking Midfield,Ball_Progression,0.6954122843462932,0.6396396396396397,0.5116279069767442,0.5365853658536586
Attacking Midfield,Mistake_Rate,-0.41687640097855905,0.6396396396396397,0.5116279069767442,0.5365853658536586
Attacking Midfield,Midfield_Control,-0.23194432514134988,0.6396396396396397,0.5116279069767442,0.5365853658536586
Attacking Midfield,Defensive_Actions,0.33593411223194836,0.6396396396396397,0.5116279069767442,0.5365853658536586
Attacking Midfield,Possession_Control,-0.7874941567044584,0.6396396396396397,0.5116279069767442,0.5365853658536586
