PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Starts,Goals_Against,Shots_on_Target_Against,Saves,Saves_Pct,Clean_Sheets,Clean_Sheets_Pct,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
antonio rosati,Goalkeeper,37.0,20/21,torino,fiorentina,100000.0,0.0,0.0,0.0,1,90.0,1,2.631578947368421,1,1,5,4,80.0,0,0.0,18.946394820995955,0,3,3,0,0
geronimo rulli,Goalkeeper,28.0,20/21,real sociedad,villarreal,8000000.0,5000000.0,0.0,0.2614,25,2250.0,25,65.78947368421052,25,27,119,91,79.8,8,32.0,83.21707932021445,0,3,2,0,1
david button,Goalkeeper,31.0,20/21,brighton,west brom,1200000.0,1100000.0,0.0,0.0,15,1372.5,15,39.47368421052632,15,22,63,42,68.2,4,21.4,50.663157444683016,1,3,4,2,1
anthony racioppi,Goalkeeper,21.0,20/21,lyon,dijon,450000.0,0.0,0.0,0.0,9,829.6666666666666,9,23.684210526315788,9,13,40,27,72.9,2,15.7,40.57668150574541,1,1,5,4,0
andreas luthe,Goalkeeper,33.0,20/21,augsburg,union berlin,400000.0,0.0,0.0,0.0,10,900.0,10,26.31578947368421,10,12,33,22,63.6,3,30.0,46.70295897117972,0,3,5,-1,0
alfred gomis,Goalkeeper,26.0,20/21,dijon,rennes jugend,2400000.0,10000000.0,0.0,0.0,19,1619.0,18,48.68421052631579,19,20,81,62,76.5,6,31.6,69.34112273427704,0,5,2,-2,1
edouard mendy,Goalkeeper,28.0,20/21,rennes jugend,chelsea,7000000.0,24000000.0,0.0,0.0,24,2160.0,24,63.1578947368421,24,19,79,60,79.7,9,37.5,75.4813661256392,0,2,1,-2,1
pepe reina,Goalkeeper,37.0,20/21,ac milan,lazio,800000.0,0.0,0.0,0.0,13,1170.0,13,34.210526315789465,13,21,59,36,67.8,2,14.3,42.89268790988104,0,1,2,1,1
will norris,Goalkeeper,26.0,20/21,wolves,burnley,250000.0,266666.0,0.0,0.3636,12,1062.75,12,31.57894736842105,12,14,42,28,59.4,4,19.0,37.75015608401934,1,4,4,1,0
alexander nubel,Goalkeeper,23.0,20/21,fc schalke 04,bayern munich,9500000.0,0.0,0.0,0.0,26,2315.0,26,68.42105263157893,26,40,118,80,69.5,5,19.2,66.62559089168508,0,3,1,-4,0
luigi sepe,Goalkeeper,29.0,20/21,napoli,parma,6000000.0,4580000.0,0.2855368421052632,0.4038,34,3060.0,34,89.4736842105263,34,53,193,137,75.6,5,14.7,89.10648125425273,0,1,4,3,1
alexander schwolow,Goalkeeper,28.0,20/21,freiburg,hertha bsc,7000000.0,7000000.0,0.0,0.0,24,2091.0,23,61.8421052631579,24,32,118,86,75.4,4,16.7,67.1939844984226,0,3,3,2,1
paul bernardoni,Goalkeeper,23.0,20/21,g. bordeaux,angers,5500000.0,7500000.0,0.0,0.0,25,2203.0,24,64.4736842105263,25,38,108,71,68.5,6,24.0,67.27973771150187,0,3,4,0,1
rafael,Goalkeeper,38.0,20/21,cagliari,spezia,200000.0,0.0,0.0,0.0,6,454.0,5,13.157894736842104,5,11,17,6,47.1,0,0.0,7.138780998360815,0,4,5,0,0
rafal gikiewicz,Goalkeeper,33.0,20/21,union berlin,augsburg,1200000.0,0.0,0.0,0.0,19,1706.2222222222222,19,50.0,19,29,88,58,72.5,4,21.8,60.92232832370848,1,5,3,1,0
emiliano martinez,Goalkeeper,27.0,20/21,arsenal,aston villa,8000000.0,17400000.0,0.0,0.3112,9,771.0,9,22.36842105263157,8,9,42,33,81.0,3,37.5,64.45508654461665,0,1,3,1,1
wayne hennessey,Goalkeeper,34.0,21/22,crystal palace,burnley,1000000.0,0.0,0.0,0.0,17,1537.5,17,44.73684210526315,17,26,78,52,60.3,5,18.7,49.23669376487071,1,3,4,2,0
