PlayerName,Position,Age,Season_x,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Chance_Creation_Index,Attacking_Contributions,Ball_Progression,Mistake_Rate,Midfield_Control,Defensive_Actions,Possession_Control,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success,Role_Cohort
azzedine ounahi,Central Midfield,21.0,22/23,angers,marseille,15000000,8000000.0,0.0,0.0,32,1633.0,18.1,57.977967306325525,41.5,3.0,160.0,0.0743657042869641,65.66523605150215,84.0,1451.0,44.28257163504145,0,4,1,3,1,Central Midfield
julian baumgartlinger,Defensive Midfield,33.0,22/23,leverkusen,augsburg,800000,0.0,0.0,0.0,6,88.0,1.0,5.756929637526652,0.0,0.0,5.0,0.0,3.848920863309353,6.0,106.0,25.68523420324024,0,1,3,-2,0,Defensive Midfield
thomas mangani,Central Midfield,34.0,22/23,angers,ajaccio,600000,0.0,0.0,0.0,33,2193.0,24.4,67.0042643923241,54.0,9.0,173.0,0.0198135198135198,97.62114537444934,132.0,2185.0,63.202459778465936,0,4,5,-1,0,Central Midfield
arne maier,Central Midfield,22.0,22/23,hertha bsc,augsburg,5500000,5000000.0,0.1990964912280701,0.3107,29,1864.0,20.7,57.6403695806681,66.0,7.0,109.0,0.0562685093780849,46.907630522088354,53.0,1117.0,41.674871585253136,0,3,3,0,0,Central Midfield
fabio carvalho,Attacking Midfield,18.0,22/23,fulham,liverpool,12000000,9400000.0,0.0,0.0,18,1026.590909090909,11.404545454545454,32.98362085675519,30.901515151515152,2.9696969696969697,70.27272727272727,0.0894122835449608,2176.649819494585,48.24242424242424,656.7121212121212,39.96499320341479,1,4,1,3,0,Attacking Midfield
orel mangala,Defensive Midfield,23.0,22/23,stuttgart,nott'm forest,15000000,13000000.0,0.0,0.0,28,1853.0,20.6,56.325515280739175,58.0,4.0,105.0,0.0838323353293413,52.468619246861934,40.0,1198.0,36.03341215478222,0,3,5,-2,1,Defensive Midfield
oriol romeu,Defensive Midfield,29.0,22/23,southampton,girona,5000000,5500000.0,0.0,0.0,36,2889.0,32.1,80.15280739161338,74.0,4.0,194.0,0.0282738095238095,117.9372197309417,167.0,2601.0,68.32203890274408,0,4,5,-1,1,Defensive Midfield
franck kessie,Central Midfield,24.0,22/23,ac milan,barcelona,45000000,0.0,0.0,0.0,31,2308.0,25.6,66.11584932480456,61.5,6.0,166.0,0.040625,106.63366336633663,103.0,2093.0,56.70185340030565,0,1,1,0,1,Central Midfield
frank anguissa,Central Midfield,25.0,22/23,fulham,napoli,30000000,16000000.0,0.2553157894736842,0.1727,25,1681.9054054054054,18.68783783783784,50.375775562342746,48.42567567567568,5.216216216216216,117.70270270270272,0.071177172315355,4013.965863453815,71.4054054054054,1123.5135135135135,61.17880996189403,1,4,1,3,1,Central Midfield
mario lemina,Defensive Midfield,27.0,22/23,nice,wolves,7000000,11000000.0,0.0,0.0,32,1967.0,21.9,62.7043354655295,22.5,2.0,128.0,0.0244584206848357,71.7562724014337,142.0,1972.0,55.08379541004358,0,3,4,-1,1,Defensive Midfield
kalvin phillips,Defensive Midfield,25.0,22/23,leeds united,man city,50000000,49000000.0,0.0,0.0,20,1596.0,17.7,43.19474058280029,24.0,1.0,99.0,0.0404040404040404,58.48605577689243,115.0,1454.0,45.71119379152336,0,5,1,4,1,Defensive Midfield
antonin barak,Attacking Midfield,26.0,22/23,hellas verona,fiorentina,12000000,7860000.0,0.0,0.0,29,2340.0,26.0,64.23240938166312,63.0,15.0,215.0,0.0697674418604651,82.04761904761905,56.0,1599.0,52.2582355902009,0,4,3,1,0,Attacking Midfield
marc roca,Defensive Midfield,24.0,22/23,bayern munich,leeds united,7000000,12000000.0,0.0,0.0,9,379.0,4.2,13.308457711442788,9.5,0.0,32.0,0.032069970845481,23.350515463917528,21.0,451.0,27.430243636121663,0,1,5,-4,1,Defensive Midfield
tommaso milanese,Central Midfield,19.0,22/23,roma,cremonese,2000000,750000.0,0.0,0.0,35,2253.0,25.0,70.1314854299929,84.5,2.0,190.0,0.0742811501597444,56.42570281124498,81.0,1347.0,47.17218193097239,0,1,5,-4,0,Central Midfield
tomas rincon,Defensive Midfield,33.0,22/23,torino,sampdoria,1000000,0.0,0.0743824561403508,0.3807,24,1329.0,14.8,44.349680170575695,14.0,0.0,65.0,0.0353089533417402,42.44,62.0,1041.0,36.36557862345022,0,3,3,0,0,Defensive Midfield
tyler adams,Defensive Midfield,22.0,22/23,leipzig,leeds united,17000000,17000000.0,0.0,0.0,24,1351.0,15.0,44.59843638948117,20.0,1.0,116.0,0.027306967984934,67.06896551724138,63.0,1533.0,44.193417462645264,0,1,5,-4,1,Defensive Midfield
unai lopez,Central Midfield,25.0,22/23,bilbao athletic,rayo vallecano,4000000,0.0,0.0,0.0,27,1160.0,12.9,45.55792466240228,50.5,0.0,84.0,0.0395421436004162,101.71875,36.0,1266.0,38.58229376978289,0,3,4,-1,0,Central Midfield
remo freuler,Central Midfield,29.0,22/23,atalanta,nott'm forest,20000000,8300000.0,0.0,0.0,29,2369.0,26.3,64.60554371002132,58.5,4.0,260.0,0.0314341846758349,128.9047619047619,152.0,2648.0,69.88390339946972,0,2,5,-3,0,Central Midfield
florent mollet,Attacking Midfield,29.0,22/23,fc schalke 04,nantes,2500000,1500000.0,0.0,0.0,35,2630.0,29.2,75.35536602700782,76.0,8.0,162.0,0.061114842175957,77.93859649122807,82.0,1615.0,50.72560625571212,0,3,3,0,0,Attacking Midfield
florent mollet,Attacking Midfield,29.0,22/23,montpellier,fc schalke 04,6000000,500000.0,0.0,0.0,35,2630.0,29.2,75.35536602700782,76.0,8.0,162.0,0.061114842175957,75.61702127659575,82.0,1615.0,50.71338475525821,0,3,3,0,0,Attacking Midfield
kevin stoger,Attacking Midfield,27.0,22/23,mainz,vfl bochum,1600000,0.0,0.0,0.0,24,1607.659574468085,17.861702127659573,48.15776739403288,51.74468085106383,6.276595744680851,103.76595744680851,0.0643909121978985,26.25668449197861,65.25531914893617,1080.212765957447,40.00500524099542,1,3,5,-2,0,Attacking Midfield
mamadou coulibaly,Central Midfield,22.0,22/23,udinese,salernitana,2500000,3000000.0,0.0,0.4922,12,808.0,9.0,22.850035536602704,17.5,2.0,53.0,0.0743243243243243,29.53488372093023,35.0,478.0,26.13801566893846,0,3,5,-2,0,Central Midfield
andreas pereira,Attacking Midfield,25.0,22/23,man utd,fulham,7500000,9500000.0,0.0,0.0,25,1681.9054054054054,18.68783783783784,50.375775562342746,48.42567567567568,5.216216216216216,117.70270270270272,0.071177172315355,935.5405405405404,71.4054054054054,1123.5135135135135,44.97301303392371,1,1,4,-3,1,Attacking Midfield
