Feature,Mean_Weight,Std_Weight,CI_2.5%,CI_97.5%
Shots_on_Target_Against,0.5385511647059932,0.15593991289054382,0.2352661731338419,0.8409842046428351
Clean_Sheets_Pct,0.3010447622809348,0.14795138738259664,0.0245819062650408,0.5853108004814329
Saves_Pct,0.16040407301307208,0.11436217896318385,0.007698816384779829,0.4323042857841038
