Model,N_runs,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_mean,AUC_std
Gradient Boosting,100,0.7775438596491228,0.040398904,0.7581857141206685,0.050735794069819616,0.71293384,0.085580381,0.8269466865451334,0.043592061
Random Forest,100,0.756403509,0.040041817937611746,0.7228017394809478,0.060145287906050476,0.7142513861837402,0.080087817,0.8257481215492976,0.044246417
AdaBoost,100,0.6625438596491229,0.040283219,0.6431712538749227,0.067136437,0.503816024,0.12434284835427821,0.7075585726553492,0.050608068
SVM (RBF),100,0.6539473684210526,0.048688161685720606,0.6093710123237622,0.069421862,0.5767032610777051,0.10696528822199244,0.7024095645608365,0.052423820515379874
Logistic (L1),100,0.6379824561403509,0.050220428,0.5820301828800405,0.066297063,0.5890029525460992,0.08828684,0.6748631881985483,0.055079903
Logistic Regression,100,0.6366666666666666,0.050087335,0.5801567111755489,0.065353889,0.5898157991946011,0.089829091,0.6739268372181013,0.055791867282627944
SVM (Linear),100,0.6361403508771929,0.051065592,0.5900705324984693,0.077170484,0.5329350582583471,0.08940188,0.6717194578834004,0.055634312
Neural Net (Medium),100,0.6314035087719299,0.055018674,0.5910077529902622,0.08389957,0.5288603664874116,0.13633537471858068,0.6644065391625705,0.063093578
Neural Net (Small),100,0.5222807017543859,0.099795266,0.49634167694214226,0.081410229,0.8162444620893697,0.2134081334141381,0.5503060170737413,0.12092380524801397
