PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Loan_Index,Injury_Index,Performance_Index,Role_In_Prev_Club_Index,Delta_Club_Rank,Transfer_Success
paulo gazzaniga,Goalkeeper,31.0,23/24,fulham,girona,3000000.0,0.0,0.5266,0.0,66.40679270591261,73.68421052631578,0,0
james trafford,Goalkeeper,20.0,23/24,man city,burnley,15000000.0,17300000.0,0.0,0.0,64.06164846069218,63.1578947368421,4,1
michele cerofolini,Goalkeeper,24.0,23/24,fiorentina,frosinone,500000.0,0.0,0.5993,0.2605473684210527,57.30607461650805,13.157894736842104,2,0
florian muller,Goalkeeper,24.0,23/24,stuttgart,freiburg,1500000.0,1500000.0,0.0,0.0,40.98869845667471,50.0,0,0
finn dahmen,Goalkeeper,25.0,23/24,mainz,augsburg,2500000.0,0.0,0.0,0.0,24.539127378905484,21.052631578947366,0,0
ivo grbic,Goalkeeper,27.0,23/24,atlético,sheffield utd,3500000.0,2500000.0,0.0,0.0,50.90168505907539,26.31578947368421,4,1
vicente guaita,Goalkeeper,36.0,23/24,crystal palace,celta vigo,1000000.0,0.0,0.0,0.0,70.0413447518329,71.05263157894737,1,0
alessio cragno,Goalkeeper,29.0,23/24,cagliari,monza,3000000.0,3600000.0,0.4347,0.1006822966507176,0.0,2.631578947368421,0,1
rjan nyland,Goalkeeper,32.0,23/24,leipzig,sevilla fc,600000.0,0.0,0.0,0.2744736842105263,53.997189997685815,5.263157894736842,0,0
adrian,Goalkeeper,37.0,24/25,liverpool,real betis,600000.0,0.0,0.0,0.0,45.79858396961967,21.052631578947366,2,0
aaron ramsdale,Goalkeeper,26.0,24/25,arsenal,southampton,25000000.0,21400000.0,0.0,0.0,43.99476085504766,15.789473684210526,3,0
odysseas vlachodimos,Goalkeeper,30.0,24/25,nott'm forest,newcastle,7000000.0,23600000.0,0.0,0.0,27.895239956772333,13.157894736842104,-1,1
anthony lopes,Goalkeeper,33.0,24/25,lyon,nantes,1500000.0,0.0,0.0,0.0,87.70482065726617,81.57894736842105,2,1
giorgi mamardashvili,Goalkeeper,23.0,24/25,valencia,liverpool,45000000.0,30000000.0,0.0,0.0,91.31649879234443,96.05263157894736,-3,1
ionut radu,Goalkeeper,27.0,24/25,inter,venezia,1500000.0,0.0,0.5863,0.27472,0.1827224249273769,5.263157894736842,4,0
stole dimitrievski,Goalkeeper,30.0,24/25,rayo vallecano,valencia,4000000.0,0.0,0.0,0.0,90.7582776739966,97.36842105263158,0,1
filip jrgensen,Goalkeeper,22.0,24/25,villarreal,chelsea,20000000.0,24500000.0,0.0,0.0,93.05279331558962,94.73684210526316,-2,1
