Rk,Player,Save%,Season,Age,Nation,Team,Comp,Playing Time MP,Playing Time Min,Playing Time 90s,Playing Time Starts,Playing Time Subs,Playing Time unSub,Performance GA,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Pos
55,Mattia Perin,80.0,23-24,30,it ITA,Juventus,it Serie A,3,225,2.5,3,0,30,1,5,4,80.0,2.0,1.0,0,1.0,33.3,GK
56,Mathieu Gorgelin,80.0,23-24,32,fr FRA,Le Havre,fr Ligue 1,1,90,1.0,1,0,29,2,5,3,80.0,0.0,0.0,1,0.0,0.0,GK
57,Michele Di Gregorio,79.9,23-24,26,it ITA,Monza,it Serie A,33,2872,31.9,33,0,1,35,159,122,79.9,11.0,11.0,11,12.0,36.4,GK
58,Alban Lafont,70.3,23-24,24,ci CIV,Nantes,fr Ligue 1,28,2496,27.7,28,0,1,43,118,75,70.3,7.0,4.0,17,7.0,25.0,GK
59,Luca Gemello,55.6,23-24,23,it ITA,Torino,it Serie A,2,180,2.0,2,0,35,5,9,4,55.6,0.0,0.0,2,0.0,0.0,GK
60,Predrag Rajković,71.7,23-24,27,rs SRB,Mallorca,es La Liga,36,3240,36.0,36,0,2,43,138,95,71.7,7.0,15.0,14,9.0,25.0,GK
61,Robin Zentner,64.8,23-24,28,de GER,Mainz 05,de Bundesliga,30,2700,30.0,30,0,0,48,128,81,64.8,7.0,12.0,11,7.0,23.3,GK
62,Unai Simón,73.8,23-24,26,es ESP,Athletic Club,es La Liga,36,3182,35.4,36,0,1,33,122,90,73.8,18.0,11.0,7,16.0,44.4,GK
63,Nicola Leali,77.8,23-24,30,it ITA,Genoa,it Serie A,3,176,2.0,2,1,34,2,9,7,77.8,1.0,0.0,1,0.0,0.0,GK
64,Marcel Schuhen,62.1,23-24,30,de GER,Darmstadt 98,de Bundesliga,31,2790,31.0,31,0,2,76,198,123,62.1,3.0,7.0,21,3.0,9.7,GK
65,Brice Samba,78.7,23-24,29,fr FRA,Lens,fr Ligue 1,33,2970,33.0,33,0,0,35,136,101,78.7,14.0,8.0,11,14.0,42.4,GK
66,Caoimhín Kelleher,71.1,23-24,24,ie IRL,Liverpool,eng Premier League,10,900,10.0,10,0,27,11,38,28,71.1,8.0,2.0,0,2.0,20.0,GK
67,Paulo Gazzaniga,75.6,23-24,31,ar ARG,Girona,es La Liga,38,3420,38.0,38,0,0,46,168,121,75.6,25.0,6.0,7,12.0,31.6,GK
68,Emil Audero,72.7,23-24,26,id IDN,Inter,it Serie A,4,337,3.7,4,0,34,3,11,8,72.7,2.0,1.0,1,2.0,50.0,GK
69,Janis Blaswich,65.8,23-24,32,de GER,RB Leipzig,de Bundesliga,21,1890,21.0,21,0,13,30,76,46,65.8,10.0,4.0,7,5.0,23.8,GK
70,Federico Ravaglia,83.3,23-24,23,it ITA,Bologna,it Serie A,6,535,5.9,6,0,32,3,18,13,83.3,4.0,1.0,1,4.0,66.7,GK
71,Aarón Escandell,25.0,23-24,27,es ESP,Las Palmas,es La Liga,2,153,1.7,1,1,33,3,4,1,25.0,0.0,0.0,1,0.0,0.0,GK
72,Ionuț Radu,36.4,23-24,26,ro ROU,Bournemouth,eng Premier League,2,180,2.0,2,0,11,7,11,4,36.4,1.0,0.0,1,0.0,0.0,GK
73,Daniel Bentley,53.3,23-24,30,eng ENG,Wolves,eng Premier League,5,383,4.3,3,2,33,7,15,8,53.3,1.0,0.0,2,1.0,33.3,GK
74,Robert Sánchez,70.5,23-24,25,es ESP,Chelsea,eng Premier League,16,1433,15.9,16,0,2,25,78,52,70.5,5.0,4.0,7,3.0,18.8,GK
75,Guillaume Restes,69.8,23-24,18,fr FRA,Toulouse,fr Ligue 1,34,3060,34.0,34,0,0,46,139,93,69.8,11.0,10.0,13,6.0,17.6,GK
76,Jeremías Ledesma,70.2,23-24,30,ar ARG,Cádiz,es La Liga,34,3048,33.9,34,0,1,47,151,104,70.2,6.0,12.0,16,9.0,26.5,GK
77,Marc-André ter Stegen,75.5,23-24,31,de GER,Barcelona,es La Liga,28,2520,28.0,28,0,0,27,102,75,75.5,20.0,5.0,3,15.0,53.6,GK
78,Raúl Fernández,35.3,23-24,35,es ESP,Granada,es La Liga,4,280,3.1,4,0,10,11,17,7,35.3,1.0,0.0,3,0.0,0.0,GK
79,Iván Cuéllar,83.3,23-24,39,es ESP,Mallorca,es La Liga,1,90,1.0,1,0,30,1,6,5,83.3,1.0,0.0,0,0.0,0.0,GK
80,Guglielmo Vicario,67.7,23-24,26,it ITA,Tottenham,eng Premier League,38,3420,38.0,38,0,0,61,167,109,67.7,20.0,6.0,12,7.0,18.4,GK
81,Emiliano Martínez,66.2,23-24,30,ar ARG,Aston Villa,eng Premier League,34,3015,33.5,34,0,0,48,139,95,66.2,19.0,8.0,7,8.0,23.5,GK
82,Rui Patrício,66.2,23-24,35,pt POR,Roma,it Serie A,23,2070,23.0,23,0,15,27,74,49,66.2,11.0,5.0,7,6.0,26.1,GK
83,Alisson,73.4,23-24,30,br BRA,Liverpool,eng Premier League,28,2520,28.0,28,0,0,30,109,80,73.4,16.0,8.0,4,8.0,28.6,GK
84,Raffaele Di Gennaro,100.0,23-24,29,it ITA,Inter,it Serie A,1,23,0.3,0,1,36,0,4,4,100.0,0.0,0.0,0,0.0,,GK
85,Francesco Rossi,100.0,23-24,32,it ITA,Atalanta,it Serie A,1,5,0.1,0,1,34,0,1,1,100.0,0.0,0.0,0,1.0,,GK
86,Sven Ulreich,64.5,23-24,34,de GER,Bayern Munich,de Bundesliga,11,990,11.0,11,0,21,12,31,19,64.5,7.0,2.0,2,4.0,36.4,GK
87,Rémy Riou,57.1,23-24,35,fr FRA,Lyon,fr Ligue 1,3,270,3.0,3,0,10,6,14,8,57.1,0.0,1.0,2,1.0,33.3,GK
88,Matz Sels,60.2,23-24,31,be BEL,2 Teams,2 Comps,35,3150,35.0,35,0,0,51,123,76,60.2,10.0,11.0,14,4.0,11.4,GK
89,Marvin Schwäbe,66.1,23-24,28,de GER,Köln,de Bundesliga,34,3060,34.0,34,0,0,60,168,108,66.1,5.0,12.0,17,4.0,11.8,GK
90,Manuel Neuer,66.7,23-24,37,de GER,Bayern Munich,de Bundesliga,23,2053,22.8,23,0,0,33,93,59,66.7,16.0,1.0,6,6.0,26.1,GK
91,Andrea Consigli,61.6,23-24,36,it ITA,Sassuolo,it Serie A,35,3150,35.0,35,0,0,68,159,93,61.6,6.0,8.0,21,3.0,8.6,GK
92,Marco Carnesecchi,75.7,23-24,23,it ITA,Atalanta,it Serie A,27,2425,26.9,27,0,11,30,107,75,75.7,15.0,5.0,7,8.0,29.6,GK
93,Alessandro Sorrentino,62.5,23-24,21,it ITA,Monza,it Serie A,7,548,6.1,5,2,31,16,32,16,62.5,0.0,1.0,4,0.0,0.0,GK
94,David Soria,72.5,23-24,30,es ESP,Getafe,es La Liga,38,3413,37.9,38,0,0,52,171,118,72.5,10.0,13.0,15,10.0,26.3,GK
95,José Sá,73.4,23-24,30,pt POR,Wolves,eng Premier League,35,3037,33.7,35,0,0,58,188,131,73.4,12.0,7.0,16,4.0,11.4,GK
96,Łukasz Fabiański,66.0,23-24,38,pl POL,West Ham,eng Premier League,10,721,8.0,7,3,27,21,53,33,66.0,3.0,1.0,3,1.0,14.3,GK
97,Alex Meret,63.5,23-24,26,it ITA,Napoli,it Serie A,31,2773,30.8,31,0,1,40,104,62,63.5,10.0,13.0,8,5.0,16.1,GK
98,Rubén Blanco,66.7,23-24,28,es ESP,Marseille,fr Ligue 1,2,121,1.3,1,1,30,2,6,4,66.7,0.0,0.0,1,0.0,0.0,GK
99,Tommaso Martinelli,33.3,23-24,17,it ITA,Fiorentina,it Serie A,1,90,1.0,1,0,31,2,3,1,33.3,1.0,0.0,0,0.0,0.0,GK
100,Wes Foderingham,63.7,23-24,32,eng ENG,Sheffield Utd,eng Premier League,30,2649,29.4,29,1,8,79,204,130,63.7,3.0,4.0,22,1.0,3.4,GK
101,Elia Caprile,78.3,23-24,21,it ITA,Empoli,it Serie A,23,2070,23.0,23,0,9,27,106,78,78.3,6.0,6.0,11,5.0,21.7,GK
102,David Raya,68.1,23-24,27,es ESP,Arsenal,eng Premier League,32,2880,32.0,32,0,3,24,69,45,68.1,23.0,4.0,5,16.0,50.0,GK
