Rk,Player,Save%,Season,Age,Nation,Team,Comp,Playing Time MP,Playing Time Min,Playing Time 90s,Playing Time Starts,Playing Time Subs,Playing Time unSub,Performance GA,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Pos
151,Bart Verbruggen,72.5,23-24,20,nl NED,Brighton,eng Premier League,21,1890,21.0,21,0,17,28,91,63,72.5,7.0,8.0,6,4.0,19.0,GK
152,Fabian Bredlow,86.4,23-24,28,de GER,Stuttgart,de Bundesliga,4,360,4.0,4,0,26,3,22,19,86.4,3.0,1.0,0,1.0,25.0,GK
153,Giorgi Mamardashvili,73.8,23-24,22,ge GEO,Valencia,es La Liga,37,3284,36.5,37,0,0,41,145,103,73.8,13.0,10.0,14,13.0,35.1,GK
154,Jesús Owono,66.7,23-24,22,gq EQG,Alavés,es La Liga,4,360,4.0,4,0,31,8,24,16,66.7,1.0,2.0,1,1.0,25.0,GK
155,Diego Mariño,100.0,23-24,33,es ESP,Almería,es La Liga,1,90,1.0,1,0,37,2,4,2,100.0,0.0,0.0,1,0.0,0.0,GK
156,Fernando,56.5,23-24,33,es ESP,Almería,es La Liga,4,360,4.0,4,0,34,10,23,13,56.5,1.0,1.0,2,0.0,0.0,GK
157,Koen Casteels,67.8,23-24,31,be BEL,Wolfsburg,de Bundesliga,25,2250,25.0,25,0,0,39,115,78,67.8,8.0,6.0,11,4.0,16.0,GK
158,Marcin Bułka,77.1,23-24,23,pl POL,Nice,fr Ligue 1,34,3060,34.0,34,0,0,29,105,74,77.1,15.0,10.0,9,17.0,50.0,GK
159,Noah Atubolu,65.2,23-24,21,de GER,Freiburg,de Bundesliga,34,3060,34.0,34,0,0,58,158,99,65.2,11.0,9.0,14,10.0,29.4,GK
160,Yvon Mvogo,72.0,23-24,29,ch SUI,Lorient,fr Ligue 1,34,3060,34.0,34,0,0,66,207,142,72.0,7.0,8.0,19,4.0,11.8,GK
161,Tomáš Koubek,68.0,23-24,30,cz CZE,Augsburg,de Bundesliga,3,270,3.0,3,0,31,8,25,17,68.0,0.0,0.0,3,0.0,0.0,GK
162,Finn Dahmen,71.5,23-24,25,de GER,Augsburg,de Bundesliga,31,2790,31.0,31,0,0,52,158,106,71.5,10.0,9.0,12,3.0,9.7,GK
163,Guillaume Dietsch,66.7,23-24,22,fr FRA,Metz,fr Ligue 1,1,73,0.8,0,1,33,1,3,2,66.7,0.0,0.0,0,0.0,,GK
164,Pietro Terracciano,77.0,23-24,33,it ITA,Fiorentina,it Serie A,33,2970,33.0,33,0,5,35,126,90,77.0,15.0,8.0,10,8.0,24.2,GK
165,Pepe Reina,77.8,23-24,40,es ESP,Villarreal,es La Liga,2,180,2.0,2,0,29,2,9,7,77.8,1.0,1.0,0,0.0,0.0,GK
166,Dean Henderson,66.3,23-24,26,eng ENG,2 Teams,eng Premier League,18,1620,18.0,18,0,10,30,86,57,66.3,8.0,4.0,6,4.0,22.2,GK
167,Robin Olsen,61.8,23-24,33,se SWE,Aston Villa,eng Premier League,5,405,4.5,4,1,26,13,34,20,61.8,1.0,0.0,3,0.0,0.0,GK
168,Arthur Desmas,72.5,23-24,29,fr FRA,Le Havre,fr Ligue 1,33,2970,33.0,33,0,0,43,153,111,72.5,7.0,11.0,15,7.0,21.2,GK
169,André Onana,74.9,23-24,27,cm CMR,Manchester Utd,eng Premier League,38,3420,38.0,38,0,0,58,203,146,74.9,18.0,6.0,14,9.0,23.7,GK
170,Rui Silva,75.8,23-24,29,pt POR,Betis,es La Liga,28,2475,27.5,28,0,6,36,120,85,75.8,10.0,9.0,9,9.0,32.1,GK
171,Daniel Batz,82.4,23-24,32,de GER,Mainz 05,de Bundesliga,4,360,4.0,4,0,16,3,17,14,82.4,0.0,2.0,2,1.0,25.0,GK
172,Keylor Navas,58.3,23-24,36,cr CRC,Paris S-G,fr Ligue 1,4,360,4.0,4,0,18,6,12,6,58.3,2.0,2.0,0,1.0,25.0,GK
173,James Shea,100.0,23-24,32,eng ENG,Luton Town,eng Premier League,1,15,0.2,0,1,13,0,2,2,100.0,0.0,0.0,0,0.0,,GK
174,Etrit Berisha,68.9,23-24,34,al ALB,Empoli,it Serie A,14,1260,14.0,14,0,12,25,74,49,68.9,3.0,3.0,8,4.0,28.6,GK
175,Jan Oblak,70.8,23-24,30,si SVN,Atlético Madrid,es La Liga,38,3420,38.0,38,0,0,43,144,101,70.8,24.0,4.0,10,13.0,34.2,GK
176,Yehvann Diouf,70.1,23-24,23,sn SEN,Reims,fr Ligue 1,34,3060,34.0,34,0,0,47,137,90,70.1,13.0,8.0,13,8.0,23.5,GK
177,Michele Cerofolini,60.7,23-24,24,it ITA,Frosinone,it Serie A,8,675,7.5,7,1,30,11,28,18,60.7,2.0,2.0,3,3.0,42.9,GK
178,Anthony Lopes,71.0,23-24,32,pt POR,Lyon,fr Ligue 1,31,2790,31.0,31,0,0,49,155,106,71.0,16.0,4.0,11,9.0,29.0,GK
179,Pierluigi Gollini,66.7,23-24,28,it ITA,Napoli,it Serie A,7,630,7.0,7,0,22,8,24,16,66.7,3.0,1.0,3,1.0,14.3,GK
180,Unai Marrero,60.0,23-24,21,es ESP,Real Sociedad,es La Liga,2,142,1.6,1,1,36,3,5,2,60.0,0.0,0.0,1,0.0,0.0,GK
181,Kevin Müller,72.4,23-24,32,de GER,Heidenheim,de Bundesliga,34,3060,34.0,34,0,0,55,174,121,72.4,10.0,12.0,12,6.0,17.6,GK
182,Jens Grahl,77.8,23-24,34,de GER,Eint Frankfurt,de Bundesliga,2,180,2.0,2,0,32,2,9,7,77.8,1.0,1.0,0,0.0,0.0,GK
183,Mory Diaw,74.5,23-24,30,sn SEN,Clermont Foot,fr Ligue 1,30,2700,30.0,30,0,0,54,188,134,74.5,4.0,8.0,18,5.0,16.7,GK
184,Alessio Cragno,57.1,23-24,29,it ITA,Sassuolo,it Serie A,3,270,3.0,3,0,34,7,14,8,57.1,1.0,1.0,1,0.0,0.0,GK
185,Yassine Bounou,33.3,23-24,32,ma MAR,Sevilla,es La Liga,1,90,1.0,1,0,0,2,3,1,33.3,0.0,0.0,1,0.0,0.0,GK
186,Carlo Pinsoglio,100.0,23-24,33,it ITA,Juventus,it Serie A,1,45,0.5,0,1,37,0,3,3,100.0,0.0,0.0,0,1.0,,GK
187,Christos Mandas,79.3,23-24,21,gr GRE,Lazio,it Serie A,9,721,8.0,8,1,26,6,29,23,79.3,6.0,1.0,1,4.0,50.0,GK
188,Augusto Batalla,67.4,23-24,27,ar ARG,Granada,es La Liga,17,1530,17.0,17,0,3,28,86,58,67.4,3.0,4.0,10,3.0,17.6,GK
189,Stole Dimitrievski,69.3,23-24,29,mk MKD,Rayo Vallecano,es La Liga,37,3330,37.0,37,0,1,47,150,104,69.3,8.0,14.0,15,13.0,35.1,GK
190,Mike Maignan,77.5,23-24,28,fr FRA,Milan,it Serie A,29,2609,29.0,29,0,2,34,120,86,77.5,19.0,5.0,5,10.0,34.5,GK
191,Mark Travers,77.8,23-24,24,ie IRL,Bournemouth,eng Premier League,4,360,4.0,4,0,25,5,18,13,77.8,2.0,0.0,2,2.0,50.0,GK
192,David Gil,66.7,23-24,29,es ESP,Cádiz,es La Liga,5,372,4.1,4,1,32,8,24,17,66.7,0.0,3.0,1,1.0,25.0,GK
193,Philipp Köhn,72.2,23-24,25,ch SUI,Monaco,fr Ligue 1,22,1980,22.0,22,0,12,32,97,65,72.2,11.0,5.0,6,5.0,22.7,GK
1,Filip Jørgensen,71.4,24-25,22,dk DEN,Chelsea,eng Premier League,6,540,6.0,6,0,31,9,28,19,71.4,3.0,0.0,3,1.0,16.7,GK
2,Wojciech Szczęsny,66.7,24-25,34,pl POL,Barcelona,es La Liga,15,1350,15.0,15,0,14,12,33,21,66.7,14.0,1.0,0,8.0,53.3,GK
3,Marius Müller,78.3,24-25,31,de GER,Wolfsburg,de Bundesliga,6,475,5.3,5,1,24,5,23,18,78.3,2.0,3.0,0,1.0,20.0,GK
4,Jasper Cillessen,70.3,24-25,35,nl NED,Las Palmas,es La Liga,27,2335,25.9,27,0,5,42,128,85,70.3,6.0,8.0,13,3.0,11.1,GK
5,Altay Bayındır,41.2,24-25,26,tr TUR,Manchester Utd,eng Premier League,4,360,4.0,4,0,27,10,17,8,41.2,1.0,0.0,3,1.0,25.0,GK
6,Gianluigi Donnarumma,67.6,24-25,25,it ITA,Paris S-G,fr Ligue 1,24,2091,23.2,24,0,5,25,74,49,67.6,18.0,5.0,1,4.0,16.7,GK
7,Đorđe Petrović,78.9,24-25,24,rs SRB,Strasbourg,fr Ligue 1,31,2790,31.0,31,0,0,38,147,110,78.9,15.0,8.0,8,10.0,32.3,GK
8,Marco Silvestri,59.3,24-25,33,it ITA,2 Teams,it Serie A,5,450,5.0,5,0,12,11,27,17,59.3,0.0,1.0,4,0.0,0.0,GK
9,Alexander Schwolow,57.1,24-25,32,de GER,Union Berlin,de Bundesliga,6,540,6.0,6,0,26,13,28,15,57.1,2.0,0.0,4,0.0,0.0,GK
10,Tobias Sippel,25.0,24-25,36,de GER,Gladbach,de Bundesliga,1,59,0.7,0,1,14,3,4,1,25.0,0.0,0.0,0,0.0,,GK
11,Josep Martinez,78.6,24-25,26,es ESP,Inter,it Serie A,5,450,5.0,5,0,33,3,14,11,78.6,4.0,1.0,0,3.0,60.0,GK
12,Vitezslav Jaros,100.0,24-25,23,cz CZE,Liverpool,eng Premier League,1,12,0.1,0,1,11,0,1,1,100.0,0.0,0.0,0,1.0,,GK
13,André Ferreira,56.4,24-25,28,pt POR,Valladolid,es La Liga,6,540,6.0,6,0,27,20,39,19,56.4,0.0,0.0,6,0.0,0.0,GK
14,Patrik Carlgren,75.0,24-25,32,se SWE,Nantes,fr Ligue 1,5,417,4.6,4,1,26,7,28,21,75.0,1.0,2.0,1,1.0,25.0,GK
15,Thibaut Courtois,75.0,24-25,32,be BEL,Real Madrid,es La Liga,30,2700,30.0,30,0,2,29,104,76,75.0,20.0,6.0,4,11.0,36.7,GK
16,Steve Mandanda,58.8,24-25,39,fr FRA,Rennes,fr Ligue 1,18,1486,16.5,17,1,16,23,51,29,58.8,6.0,2.0,9,6.0,35.3,GK
17,Melvin Zinga,75.0,24-25,22,fr FRA,Angers,fr Ligue 1,1,90,1.0,1,0,33,2,4,2,75.0,0.0,0.0,1,0.0,0.0,GK
18,Timon Weiner,59.3,24-25,25,de GER,Holstein Kiel,de Bundesliga,25,2250,25.0,25,0,7,61,140,81,59.3,4.0,5.0,16,2.0,8.0,GK
19,Nediljko Labrović,60.8,24-25,24,hr CRO,Augsburg,de Bundesliga,15,1350,15.0,15,0,19,32,74,42,60.8,4.0,4.0,7,2.0,13.3,GK
20,Pau López,33.3,24-25,29,es ESP,Girona,es La Liga,1,45,0.5,0,1,16,2,3,1,33.3,0.0,0.0,0,0.0,,GK
21,Radosław Majecki,69.2,24-25,24,pl POL,Monaco,fr Ligue 1,15,1350,15.0,15,0,11,22,65,43,69.2,7.0,2.0,6,3.0,20.0,GK
22,Moritz Nicolas,78.3,24-25,26,de GER,Gladbach,de Bundesliga,19,1639,18.2,19,0,3,25,92,69,78.3,9.0,4.0,6,4.0,21.1,GK
23,Lasse Rieß,75.0,24-25,23,de GER,Mainz 05,de Bundesliga,2,180,2.0,2,0,32,2,8,6,75.0,1.0,1.0,0,0.0,0.0,GK
24,Bernd Leno,67.9,24-25,32,de GER,Fulham,eng Premier League,38,3420,38.0,38,0,0,54,159,106,67.9,15.0,9.0,14,5.0,13.2,GK
25,Ivan Provedel,58.7,24-25,30,it ITA,Lazio,it Serie A,29,2610,29.0,29,0,9,42,92,52,58.7,15.0,6.0,8,5.0,17.2,GK
26,Jason Steele,75.0,24-25,33,eng ENG,Brighton,eng Premier League,2,180,2.0,2,0,24,1,4,3,75.0,2.0,0.0,0,1.0,50.0,GK
27,Kepa Arrizabalaga,73.9,24-25,29,es ESP,Bournemouth,eng Premier League,31,2790,31.0,31,0,1,39,134,95,73.9,13.0,7.0,11,8.0,25.8,GK
28,Fran Vieites,54.5,24-25,25,es ESP,Betis,es La Liga,4,360,4.0,4,0,30,5,11,6,54.5,1.0,2.0,1,0.0,0.0,GK
29,Alphonse Areola,64.3,24-25,31,fr FRA,West Ham,eng Premier League,26,2260,25.1,25,1,8,41,115,77,64.3,5.0,7.0,13,5.0,20.0,GK
30,Benjamin Lecomte,64.2,24-25,33,fr FRA,Montpellier,fr Ligue 1,30,2700,30.0,30,0,4,68,173,107,64.2,3.0,4.0,23,1.0,3.3,GK
31,Dominik Greif,72.4,24-25,27,sk SVK,Mallorca,es La Liga,31,2790,31.0,31,0,7,34,116,83,72.4,11.0,8.0,12,7.0,22.6,GK
32,Andriy Lunin,65.0,24-25,25,ua UKR,Real Madrid,es La Liga,7,630,7.0,7,0,29,7,20,13,65.0,6.0,0.0,1,4.0,57.1,GK
33,Arnau Tenas,75.0,24-25,23,es ESP,Paris S-G,fr Ligue 1,1,90,1.0,1,0,11,1,4,3,75.0,1.0,0.0,0,0.0,0.0,GK
34,Alex McCarthy,70.3,24-25,34,eng ENG,Southampton,eng Premier League,5,450,5.0,5,0,33,13,37,24,70.3,0.0,0.0,5,0.0,0.0,GK
35,Álex Remiro,70.8,24-25,29,es ESP,Real Sociedad,es La Liga,36,3240,36.0,36,0,2,43,130,86,70.8,13.0,7.0,16,13.0,36.1,GK
36,Dimitry Bertaud,57.1,24-25,26,cd COD,Montpellier,fr Ligue 1,4,360,4.0,4,0,30,11,21,10,57.1,1.0,0.0,3,0.0,0.0,GK
37,Martin Dúbravka,70.7,24-25,35,sk SVK,Newcastle Utd,eng Premier League,10,900,10.0,10,0,24,12,41,29,70.7,7.0,0.0,3,5.0,50.0,GK
38,Ederson,69.2,24-25,30,br BRA,Manchester City,eng Premier League,26,2320,25.8,26,0,4,26,78,53,69.2,16.0,4.0,6,10.0,38.5,GK
39,Timo Horn,59.3,24-25,31,de GER,Bochum,de Bundesliga,13,1170,13.0,13,0,21,22,54,32,59.3,3.0,3.0,7,3.0,23.1,GK
40,Marco Bizot,64.1,24-25,33,nl NED,Brest,fr Ligue 1,32,2880,32.0,32,0,0,54,128,74,64.1,14.0,5.0,13,10.0,31.3,GK
41,Daniel Peretz,28.6,24-25,24,il ISR,Bayern Munich,de Bundesliga,3,270,3.0,3,0,14,5,7,2,28.6,2.0,0.0,1,0.0,0.0,GK
42,Simone Scuffet,68.3,24-25,28,it ITA,2 Teams,it Serie A,14,1260,14.0,14,0,24,24,60,36,68.3,3.0,4.0,7,1.0,7.1,GK
43,Razvan Sava,74.5,24-25,22,ro ROU,Udinese,it Serie A,12,1080,12.0,12,0,19,16,51,37,74.5,5.0,4.0,3,4.0,33.3,GK
44,Yann Sommer,75.0,24-25,35,ch SUI,Inter,it Serie A,33,2970,33.0,33,0,3,32,116,84,75.0,20.0,8.0,5,13.0,39.4,GK
45,Mathew Ryan,75.8,24-25,32,au AUS,2 Teams,2 Comps,14,1260,14.0,14,0,19,17,62,44,75.8,8.0,1.0,5,6.0,42.9,GK
46,Aaron Ramsdale,67.6,24-25,26,eng ENG,2 Teams,eng Premier League,30,2700,30.0,30,0,2,66,188,120,67.6,2.0,5.0,23,3.0,10.0,GK
47,Benjamin Siegrist,83.3,24-25,32,ch SUI,Genoa,it Serie A,2,152,1.7,2,0,14,2,12,10,83.3,1.0,1.0,0,0.0,0.0,GK
48,Oliver Baumann,63.0,24-25,34,de GER,Hoffenheim,de Bundesliga,28,2520,28.0,28,0,0,53,138,84,63.0,6.0,8.0,14,4.0,14.3,GK
49,Rémy Descamps,66.7,24-25,28,fr FRA,Lyon,fr Ligue 1,1,90,1.0,1,0,31,2,6,4,66.7,0.0,0.0,1,0.0,0.0,GK
50,Jordan Pickford,73.0,24-25,30,eng ENG,Everton,eng Premier League,38,3420,38.0,38,0,0,44,163,117,73.0,11.0,15.0,12,12.0,31.6,GK
51,Nick Pope,71.7,24-25,32,eng ENG,Newcastle Utd,eng Premier League,28,2520,28.0,28,0,3,35,120,86,71.7,13.0,6.0,9,8.0,28.6,GK
52,Mattia Perin,81.3,24-25,31,it ITA,Juventus,it Serie A,5,450,5.0,5,0,31,3,16,13,81.3,2.0,3.0,0,3.0,60.0,GK
53,Mathieu Gorgelin,63.4,24-25,33,fr FRA,Le Havre,fr Ligue 1,16,1440,16.0,16,0,17,33,82,50,63.4,5.0,4.0,7,1.0,6.3,GK
54,Michele Di Gregorio,73.8,24-25,27,it ITA,Juventus,it Serie A,33,2970,33.0,33,0,5,32,103,71,73.8,16.0,13.0,4,14.0,42.4,GK
55,Alban Lafont,67.3,24-25,25,ci CIV,Nantes,fr Ligue 1,12,1080,12.0,12,0,4,19,49,32,67.3,2.0,4.0,6,2.0,16.7,GK
56,Diego Conde,68.1,24-25,25,es ESP,Villarreal,es La Liga,22,1962,21.8,22,0,11,33,94,62,68.1,11.0,6.0,5,2.0,9.1,GK
57,Semuel Pizzignacco,55.3,24-25,22,it ITA,Monza,it Serie A,9,736,8.2,8,1,29,17,38,22,55.3,1.0,2.0,5,1.0,12.5,GK
58,Donovan Léon,73.8,24-25,31,gf GUF,Auxerre,fr Ligue 1,32,2880,32.0,32,0,0,48,164,118,73.8,11.0,8.0,13,9.0,28.1,GK
59,Zion Suzuki,68.0,24-25,21,jp JPN,Parma,it Serie A,37,3314,36.8,37,0,0,53,150,99,68.0,7.0,15.0,15,7.0,19.4,GK
60,Juan Soriano,72.0,24-25,26,es ESP,Leganés,es La Liga,6,540,6.0,6,0,30,7,25,19,72.0,1.0,2.0,3,1.0,16.7,GK
61,Hákon Valdimarsson,50.0,24-25,22,is ISL,Brentford,eng Premier League,2,145,1.6,1,1,36,2,4,3,50.0,0.0,0.0,1,1.0,100.0,GK
62,Robin Zentner,73.9,24-25,29,de GER,Mainz 05,de Bundesliga,32,2880,32.0,32,0,0,41,142,100,73.9,13.0,9.0,10,9.0,28.1,GK
63,Lucas Perri,74.4,24-25,26,br BRA,Lyon,fr Ligue 1,33,2970,33.0,33,0,0,44,160,116,74.4,17.0,6.0,10,10.0,30.3,GK
64,Unai Simón,79.0,24-25,27,es ESP,Athletic Club,es La Liga,21,1890,21.0,21,0,4,14,62,47,79.0,10.0,8.0,3,10.0,47.6,GK
65,Brandon Austin,50.0,24-25,25,eng ENG,Tottenham,eng Premier League,1,90,1.0,1,0,12,2,4,2,50.0,0.0,0.0,1,0.0,0.0,GK
66,Nicola Leali,74.8,24-25,31,it ITA,Genoa,it Serie A,29,2610,29.0,29,0,9,31,111,82,74.8,8.0,10.0,11,10.0,34.5,GK
67,Brice Samba,74.5,24-25,30,fr FRA,2 Teams,fr Ligue 1,32,2879,32.0,32,0,0,41,141,98,74.5,13.0,6.0,13,12.0,37.5,GK
68,Kamil Grabara,65.7,24-25,25,pl POL,Wolfsburg,de Bundesliga,29,2585,28.7,29,0,0,49,137,88,65.7,9.0,7.0,13,5.0,17.2,GK
69,Gerónimo Rulli,67.4,24-25,32,ar ARG,Marseille,fr Ligue 1,34,3060,34.0,34,0,0,47,135,87,67.4,20.0,5.0,9,5.0,14.7,GK
70,Caoimhín Kelleher,67.6,24-25,25,ie IRL,Liverpool,eng Premier League,10,900,10.0,10,0,27,12,37,24,67.6,7.0,2.0,1,4.0,40.0,GK
71,Paulo Gazzaniga,65.7,24-25,32,ar ARG,Girona,es La Liga,36,3195,35.5,36,0,2,51,143,90,65.7,11.0,8.0,17,8.0,22.2,GK
72,Emil Audero,58.8,24-25,27,id IDN,Como,it Serie A,8,720,8.0,8,0,15,18,34,16,58.8,2.0,2.0,4,0.0,0.0,GK
73,Federico Ravaglia,45.8,24-25,24,it ITA,Bologna,it Serie A,12,1056,11.7,11,1,26,14,24,10,45.8,5.0,2.0,4,4.0,36.4,GK
74,Vladyslav Krapyvtsov,66.7,24-25,19,ua UKR,Girona,es La Liga,2,180,2.0,2,0,13,7,18,11,66.7,0.0,0.0,2,0.0,0.0,GK
75,Ionuț Radu,76.9,24-25,27,ro ROU,Venezia,it Serie A,15,1350,15.0,15,0,0,18,65,47,76.9,2.0,7.0,6,4.0,26.7,GK
76,Daniel Bentley,66.7,24-25,31,eng ENG,Wolves,eng Premier League,2,180,2.0,2,0,16,4,12,8,66.7,1.0,0.0,1,1.0,50.0,GK
77,Robert Sánchez,76.4,24-25,26,es ESP,Chelsea,eng Premier League,32,2880,32.0,32,0,6,34,127,92,76.4,17.0,9.0,6,10.0,31.3,GK
78,Guillaume Restes,62.0,24-25,19,fr FRA,Toulouse,fr Ligue 1,29,2543,28.3,29,0,0,36,92,58,62.0,9.0,7.0,13,8.0,27.6,GK
79,Alex Palmer,59.2,24-25,27,eng ENG,Ipswich Town,eng Premier League,13,1170,13.0,13,0,0,30,71,43,59.2,1.0,3.0,9,0.0,0.0,GK
80,Marc-André ter Stegen,63.6,24-25,32,de GER,Barcelona,es La Liga,8,674,7.5,8,0,3,9,22,13,63.6,7.0,0.0,1,1.0,12.5,GK
81,Jacopo Seghetti,50.0,24-25,19,it ITA,Empoli,it Serie A,1,90,1.0,1,0,37,3,6,3,50.0,0.0,0.0,1,0.0,0.0,GK
82,Guglielmo Vicario,64.7,24-25,27,it ITA,Tottenham,eng Premier League,24,2160,24.0,24,0,2,37,102,67,64.7,9.0,3.0,12,4.0,16.7,GK
83,Tiago Cardoso,87.0,24-25,18,lu LUX,Gladbach,de Bundesliga,5,380,4.2,4,1,6,3,23,20,87.0,2.0,1.0,1,2.0,50.0,GK
84,Emiliano Martínez,69.0,24-25,31,ar ARG,Aston Villa,eng Premier League,37,3194,35.5,37,0,0,45,142,96,69.0,18.0,9.0,10,8.0,21.6,GK
85,Rui Patrício,78.6,24-25,36,pt POR,Atalanta,it Serie A,3,270,3.0,3,0,33,3,14,11,78.6,2.0,1.0,0,1.0,33.3,GK
86,Alisson,72.0,24-25,31,br BRA,Liverpool,eng Premier League,28,2508,27.9,28,0,0,29,100,73,72.0,18.0,7.0,3,9.0,32.1,GK
87,David de Gea,72.6,24-25,33,es ESP,Fiorentina,it Serie A,35,3150,35.0,35,0,3,38,135,96,72.6,19.0,5.0,11,11.0,31.4,GK
88,Jean Butez,73.5,24-25,29,fr FRA,Como,it Serie A,19,1666,18.5,18,1,1,20,68,48,73.5,8.0,4.0,6,5.0,27.8,GK
89,Jesse Joronen,70.0,24-25,31,fi FIN,Venezia,it Serie A,8,703,7.8,7,1,28,15,40,27,70.0,1.0,1.0,5,2.0,28.6,GK
90,Matz Sels,73.9,24-25,32,be BEL,Nott'ham Forest,eng Premier League,38,3420,38.0,38,0,0,46,165,119,73.9,19.0,8.0,11,13.0,34.2,GK
91,Manuel Neuer,68.9,24-25,38,de GER,Bayern Munich,de Bundesliga,22,1980,22.0,22,0,1,15,45,30,68.9,18.0,4.0,0,13.0,59.1,GK
92,Joan García,75.5,24-25,23,es ESP,Espanyol,es La Liga,38,3420,38.0,38,0,0,51,192,140,75.5,11.0,9.0,18,8.0,21.1,GK
93,Leandro Chichizola,50.0,24-25,34,ar ARG,Parma,it Serie A,1,90,1.0,1,0,18,3,6,3,50.0,0.0,0.0,1,0.0,0.0,GK
94,Marco Carnesecchi,75.2,24-25,24,it ITA,Atalanta,it Serie A,34,3060,34.0,34,0,2,34,129,97,75.2,19.0,7.0,8,13.0,38.2,GK
95,David Soria,75.4,24-25,31,es ESP,Getafe,es La Liga,38,3420,38.0,38,0,0,39,126,86,75.4,11.0,9.0,18,9.0,23.7,GK
96,Dinko Horkaš,66.7,24-25,25,hr CRO,Las Palmas,es La Liga,13,1085,12.1,11,2,23,19,54,35,66.7,2.0,0.0,9,1.0,9.1,GK
97,José Sá,63.2,24-25,31,pt POR,Wolves,eng Premier League,29,2609,29.0,29,0,4,48,117,69,63.2,11.0,5.0,13,7.0,24.1,GK
98,Leo Román,81.6,24-25,24,es ESP,Mallorca,es La Liga,7,630,7.0,7,0,31,10,49,39,81.6,2.0,1.0,4,2.0,28.6,GK
99,Jonas Urbig,57.1,24-25,20,de GER,Bayern Munich,de Bundesliga,8,720,8.0,8,0,7,12,28,16,57.1,4.0,3.0,1,2.0,25.0,GK
100,Łukasz Fabiański,74.6,24-25,39,pl POL,West Ham,eng Premier League,14,1160,12.9,13,1,21,21,71,50,74.6,6.0,3.0,4,2.0,15.4,GK
101,Alex Meret,71.4,24-25,27,it ITA,Napoli,it Serie A,34,3005,33.4,34,0,1,25,84,59,71.4,21.0,9.0,4,16.0,47.1,GK
102,Alberto Paleari,57.1,24-25,31,it ITA,Torino,it Serie A,1,90,1.0,1,0,37,3,7,4,57.1,0.0,0.0,1,0.0,0.0,GK
103,Elia Caprile,70.3,24-25,22,it ITA,2 Teams,it Serie A,22,1945,21.6,21,1,15,23,74,51,70.3,8.0,4.0,9,8.0,38.1,GK
104,David Raya,74.2,24-25,28,es ESP,Arsenal,eng Premier League,38,3420,38.0,38,0,0,34,120,86,74.2,20.0,14.0,4,13.0,34.2,GK
105,Antonio Sivera,73.2,24-25,27,es ESP,Alavés,es La Liga,32,2810,31.2,32,0,0,39,112,75,73.2,9.0,10.0,13,8.0,25.0,GK
106,Arijanet Muric,70.0,24-25,25,xk KVX,Ipswich Town,eng Premier League,18,1620,18.0,18,0,8,33,100,67,70.0,2.0,6.0,10,1.0,5.6,GK
107,Michael Zetterer,65.4,24-25,29,de GER,Werder Bremen,de Bundesliga,34,3060,34.0,34,0,0,57,156,102,65.4,14.0,9.0,11,10.0,29.4,GK
108,Yahia Fofana,74.2,24-25,23,ci CIV,Angers,fr Ligue 1,33,2970,33.0,33,0,1,51,186,135,74.2,10.0,6.0,17,7.0,21.2,GK
109,Sam Johnstone,61.5,24-25,31,eng ENG,2 Teams,eng Premier League,7,630,7.0,7,0,18,17,39,23,61.5,0.0,1.0,6,0.0,0.0,GK
110,Wladimiro Falcone,72.4,24-25,29,it ITA,Lecce,it Serie A,38,3420,38.0,38,0,0,58,181,125,72.4,8.0,10.0,20,9.0,23.7,GK
111,Vanja Milinković-Savić,77.5,24-25,27,rs SRB,Torino,it Serie A,37,3330,37.0,37,0,0,42,173,129,77.5,10.0,14.0,13,10.0,27.0,GK
112,Aitor Fernández,100.0,24-25,33,es ESP,Osasuna,es La Liga,1,90,1.0,1,0,37,0,5,5,100.0,0.0,1.0,0,1.0,100.0,GK
113,Juan Musso,100.0,24-25,30,ar ARG,2 Teams,2 Comps,3,270,3.0,3,0,35,0,6,6,100.0,3.0,0.0,0,3.0,100.0,GK
114,Alex Padilla,70.6,24-25,20,es ESP,Athletic Club,es La Liga,5,321,3.6,3,2,8,6,17,12,70.6,0.0,1.0,2,0.0,0.0,GK
115,Julen Agirrezabala,76.5,24-25,23,es ESP,Athletic Club,es La Liga,14,1206,13.4,14,0,22,9,34,24,76.5,9.0,4.0,1,5.0,35.7,GK
116,Sergio Herrera,75.3,24-25,31,es ESP,Osasuna,es La Liga,37,3330,37.0,37,0,0,52,182,131,75.3,12.0,15.0,10,8.0,21.6,GK
117,Jakub Stolarczyk,63.6,24-25,23,pl POL,Leicester City,eng Premier League,10,900,10.0,10,0,11,16,44,28,63.6,3.0,1.0,6,2.0,20.0,GK
118,Karl-Johan Johnsson,77.3,24-25,34,se SWE,Strasbourg,fr Ligue 1,3,270,3.0,3,0,31,6,22,16,77.3,1.0,1.0,1,0.0,0.0,GK
119,Frederik Rønnow,67.6,24-25,31,dk DEN,Union Berlin,de Bundesliga,28,2520,28.0,28,0,0,37,111,71,67.6,8.0,11.0,9,8.0,28.6,GK
120,Patrick Drewes,56.6,24-25,31,de GER,Bochum,de Bundesliga,21,1890,21.0,21,0,12,46,99,51,56.6,2.0,5.0,14,2.0,9.5,GK
