PlayerName,Position
Vakoun Bayo                   , Centre-Forward    
Ihlas Bebou                   , Centre-Forward    
Samu Becerra                  , Central Midfield  
Adrian Beck                   , Attacking Midfield
Sheraldo Becker               , Left Winger       
Donny van de Beek             , Central Midfield  
Maximilian Beier              , Centre-Forward    
Ismael Bekhoucha              , Right-Back        
Darryl Bakola                 , Attacking Midfield
Ridle Baku                    , Right-Back        
Dilane Bakwa                  , Right Winger      
Tommaso Baldanzi              , Attacking Midfield
Alejandro Balde               , Left-Back         
Fabio Baldé                   , Left Winger       
Carlos Baleba                 , Defensive Midfield
Leonardo Balerdi              , Centre-Back       
Daniel Ballard                , Centre-Back       
Reda Belahyane                , Defensive Midfield
Rafik Belghali                , Right-Back        
Haris Belkebla                , Central Midfield  
Yassin Belkhdim               , Central Midfield  
Stefan Bell                   , Centre-Back       
Armel Bella Kotchap           , Centre-Back       
Raoul Bellanova               , Right Midfield    
Jean-Ricner Bellegarde        , Central Midfield  
Héctor Bellerín               , Right-Back        
Jobe Bellingham               , Central Midfield  
Jude Bellingham               , Attacking Midfield
Jeanuël Belocian              , Centre-Back       
Andrea Belotti                , Centre-Forward    
Fran Beltrán                  , Central Midfield  
Lucas Beltrán                 , Attacking Midfield
Eliesse Ben Seghir            , Left Winger       
Carlos Benavídez              , Defensive Midfield
Adrian Benedyczak             , Left Winger       
Yassine Benhattab             , Right Winger      
Iker Benito                   , Right Winger      
Ramy Bensebaini               , Centre-Back       
Nabil Bentaleb                , Defensive Midfield
Rodrigo Bentancur             , Central Midfield  
Lucas Beraldo                 , Centre-Back       
Domenico Berardi              , Right Winger      
Yuri Berchiche                , Left-Back         
Álex Berenguer                , Left Winger       
Sander Berge                  , Defensive Midfield
Lucas Bergvall                , Central Midfield  
Medon Berisha                 , Central Midfield  
Anthony Bermont               , Left Winger       
Adrian Bernabe                , Central Midfield  
Marc Bernal                   , Defensive Midfield
Federico Bernardeschi         , Right Winger      
Bernardo                      , Attacking Midfield
Lorenzo Bernasconi            , Left Midfield     
Antoine Bernede               , Central Midfield  
Nicolò Bertola                , Centre-Back       
Jan-Niklas Beste              , Right Winger      
Beto                          , Centre-Forward    
Sam Beukema                   , Centre-Back       
Matteo Bianchetti             , Centre-Back       
Mika Biereth                  , Centre-Forward    
Pedro Bigas                   , Centre-Back       
Cristiano Biraghi             , Left-Back         
Tom Bischof                   , Central Midfield  
Leonardo Bittencourt          , Central Midfield  
Emmanuel Biumla               , Centre-Back       
Marco Bizot                   , Goalkeeper        
Antonio Blanco                , Defensive Midfield
Ludovic Blas                  , Right Winger      
Daley Blind                   , Centre-Back       
Adam Boayar                   , Second Striker    
Oscar Bobb                    , Right Winger      
Ben Bobzien                   , Centre-Forward    
Arnaud Bodart                 , Goalkeeper        
Sacha Boey                    , Right-Back        
Jeremie Boga                  , Left Winger       
Lamare Bogarde                , Defensive Midfield
Jayden Bogle                  , Right-Back        
Gennaro Borrelli              , Centre-Forward    
Sven Botman                   , Centre-Back       
Ayyoub Bouaddi                , Central Midfield  
Badredine Bouanani            , Right Winger      
Hicham Boudaoui               , Central Midfield  
Justin Bourgault              , Left-Back         
Jarrod Bowen                  , Right Winger      
Lucas Boyé                    , Centre-Forward    
Enzo Boyomo                   , Centre-Back       
Domagoj Bradarić              , Left-Back         
Adama Boiro                   , Left-Back         
Morgan Bokelé Mputu           , Left Winger       
Brian Brobbey                 , Centre-Forward    
Marius Broholm                , Right Winger      
Armando Broja                 , Centre-Forward    
David Brooks                  , Right Winger      
Nathaniel Brown               , Left-Back         
Brugui                        ,                   
Paris Brunner                 , Centre-Forward    
Jacob Bruun Larsen            , Left Winger       
Tajon Buchanan                , Right Winger      
Ante Budimir                  , Centre-Forward    
Conor Bradley                 , Right-Back        
Bilal Brahimi                 , Right Winger      
Julian Brandt                 , Attacking Midfield
Lilian Brassier               , Centre-Back       
Iker Bravo                    , Centre-Forward    
Josip Brekalo                 , Left Winger       
Gleison Bremer                , Centre-Back       
Emi Buendía                   , Attacking Midfield
Hugo Bueno                    , Left-Back         
Manu Bueno                    , Central Midfield  
Santiago Bueno                , Centre-Back       
Louis Buffon                  , Left Winger       
Adam Buksa                    , Centre-Forward    
Andrija Bulatović             , Central Midfield  
Marius Bülter                 , Left Winger       
Facundo Buonanotte            , Attacking Midfield
Alessandro Buongiorno         , Centre-Back       
Wouter Burger                 , Defensive Midfield
Jonathan Burkardt             , Centre-Forward    
Oliver Burke                  , Centre-Forward    
Vincent Burlet                , Left-Back         
Dan Burn                      , Centre-Back       
Marnon Busch                  , Right-Back        
Aurélio Buta                  , Right-Back        
Jean Butez                    , Goalkeeper        
Sam Byram                     , Left-Back         
William Bøving                , Centre-Forward    
Jorge Cabello                 , Centre-Back       
Pape Cabral                   , Central Midfield  
Leandro Cabrera               , Centre-Back       
Anthony Caci                  , Right-Back        
Noah Cadiou                   , Central Midfield  
Mathieu Cafaro                , Right Winger      
Moisés Caicedo                , Defensive Midfield
Tom Cairney                   , Central Midfield  
Arturo Calabresi              , Centre-Back       
Riccardo Calafiori            , Left-Back         
Calebe                        , Attacking Midfield
Fernando Calero               , Centre-Back       
Duje Ćaleta-Car               , Centre-Back       
Hakan Çalhanoğlu              , Defensive Midfield
Dominic Calvert-Lewin         , Centre-Forward    
Dani Calvo                    , Centre-Back       
Adama Camara                  , Defensive Midfield
Amady Camara                  , Centre-Forward    
Dawda Camara                  , Centre-Forward    
Lamine Camara                 , Central Midfield  
Mahdi Camara                  , Central Midfield  
Ousmane Camara                , Centre-Forward    
Francesco Camarda             , Centre-Forward    
Eduardo Camavinga             , Central Midfield  
Nicolò Cambiaghi              , Left Winger       
Andrea Cambiaso               , Left Midfield     
Axel Camblan                  , Left Winger       
Sergio Camello                , Centre-Forward    
Cole Campbell                 , Right Winger      
Matteo Cancellieri            , Right Winger      
Fali Candé                    , Centre-Back       
Simone Canestrelli            , Centre-Back       
Jaydee Canvot                 , Centre-Back       
Nicolás Capaldo               , Central Midfield  
Pierrick Capelle              , Central Midfield  
Elia Caprile                  , Goalkeeper        
Maxence Caqueret              , Central Midfield  
Antonio Caracciolo            , Centre-Forward    
Valentin Carboni              , Attacking Midfield
Sergi Cardona                 , Left-Back         
Fábio Cardoso                 , Centre-Back       
Johnny Cardoso                , Central Midfield  
Igor Carioca                  , Centre-Forward    
Diego Carlos                  , Centre-Back       
Kevin Carlos                  , Centre-Forward    
David Carmo                   , Centre-Back       
Carmona                       , Right-Back        
Marco Carnesecchi             , Goalkeeper        
Sergio Carreira               , Right-Back        
Álvaro Carreras               , Left-Back         
Dani Carvajal                 , Not Found         
Fabio Carvalho                , Attacking Midfield
Cesare Casadei                , Central Midfield  
Marc Casado                   , Defensive Midfield
Nicolò Casale                 , Centre-Back       
Casemiro                      , Defensive Midfield
Matty Cash                    , Right-Back        
Josué Casimir                 , Right Winger      
Cristian Cásseres Jr.         , Central Midfield  
Timothy Castagne              , Right-Back        
Valentín Castellanos          , Centre-Forward    
Castrin                       , Centre-Back       
Jonny Castro                  , Right-Back        
Santiago Castro               , Centre-Forward    
Alessio Castro-Montes         , Right Midfield    
Danilo Cataldi                , Defensive Midfield
Catena                        , Centre-Back       
Nicolò Cavuoti                , Attacking Midfield
Santi Cazorla                 , Central Midfield  
Dani Ceballos                 , Central Midfield  
Federico Ceccherini           , Centre-Back       
Abdoulie Ceesay               , Centre-Forward    
Zeki Çelik                    , Right-Back        
Václav Černý                  , Right Winger      
Julian Chabot                 , Centre-Back       
Fares Chaïbi                  , Attacking Midfield
