PlayerName,Position
Bruno Guimarães               , Central Midfield  
Daouda Guindo                 , Left-Back         
Bahereba Guirassy             , Left Winger       
Serhou Guirassy               , Centre-Forward    
Marc Guiu                     , Centre-Forward    
Péter Gulácsi                 , Goalkeeper        
Arda Güler                    , Attacking Midfield
Gerard Gumbau                 , Defensive Midfield
Christian Günter              , Left-Back         
Jon Guridi                    , Central Midfield  
Gorka Guruzeta                , Centre-Forward    
Malo Gusto                    , Right-Back        
Miguel Gutiérrez              , Left-Back         
Albert Guðmundsson            , Second Striker    
Joško Gvardiol                , Centre-Back       
Viktor Gyökeres               , Centre-Forward    
Erling Haaland                , Centre-Forward    
Janik Haberer                 , Central Midfield  
Robin Hack                    , Left Winger       
Albian Hajdari                , Centre-Back       
Achraf Hakimi                 , Right-Back        
Lewis Hall                    , Left-Back         
Pierre-Yves Hamel             , Centre-Forward    
Andreas Hanche-Olsen          , Centre-Back       
Dávid Hancko                  , Centre-Back       
Ayden Heaven                  , Centre-Back       
Jan Paul van Hecke            , Centre-Back       
Hwang Hee-chan                ,                   
Torbjørn Heggem               , Centre-Back       
Gauthier Hein                 , Right Winger      
Dominique Heintz              , Centre-Back       
Dean Henderson                , Goalkeeper        
Jordan Henderson              , Defensive Midfield
Ramon Hendriks                , Centre-Back       
Luis Henrique                 , Right Midfield    
Florent Hanin                 , Left-Back         
Isak Hansen-Aarøen            , Attacking Midfield
Conrad Harder                 , Centre-Forward    
Jack Harrison                 , Left Winger       
Abdou Harroui                 , Central Midfield  
Quilindschy Hartman           , Left-Back         
Haissem Hassan                , Right Winger      
Hans Hateboer                 , Right-Back        
Jorrel Hato                   , Left-Back         
Kai Havertz                   , Centre-Forward    
Rico Henry                    , Right-Back        
Mads Hermansen                , Goalkeeper        
Mario Hermoso                 , Centre-Back       
Lucas Hernández               , Left-Back         
Jorge Herrando                , Centre-Back       
Sergio Herrera                , Goalkeeper        
Yangel Herrera                , Central Midfield  
Charles Herrmann              , Right Winger      
Daniel Heuer Fernandes        , Goalkeeper        
Aaron Hickey                  , Right-Back        
Santiago Hidalgo              , Centre-Forward    
Isak Hien                     , Centre-Back       
Omar El Hilali                , Right-Back        
James Hill                    , Centre-Back       
Piero Hincapié                , Centre-Back       
Jack Hinshelwood              , Defensive Midfield
Ki-Jana Hoever                , Right-Back        
Nicolas Höfler                , Defensive Midfield
Jonas Hofmann                 , Attacking Midfield
Malthe Hojholt                , Defensive Midfield
Callum Hudson-Odoi            , Left Winger       
Will Hughes                   , Central Midfield  
Dean Huijsen                  , Centre-Back       
Trai Hume                     , Right-Back        
Bashir Humphreys              , Centre-Back       
Denis Huseinbasic             , Central Midfield  
Omari Hutchinson              , Attacking Midfield
Kwon Hyeokkyu                 , Defensive Midfield
Elseid Hysaj                  , Right-Back        
Hong Hyunseok                 ,                   
Lucas Høgsberg                , Centre-Back       
Pierre Højbjerg               ,                   
Oscar Højlund                 , Central Midfield  
Rasmus Højlund                , Centre-Forward    
Edoardo Iannoni               , Central Midfield  
Pablo Ibáñez                  , Centre-Back       
Arijon Ibrahimović            , Attacking Midfield
Riyad Idrissi                 , Left-Back         
Stanis Idumbo                 , Attacking Midfield
Jay Idzes                     , Centre-Back       
Hamza Igamane                 , Centre-Forward    
Iglesias                      , Centre-Back       
Borja Iglesias                , Centre-Forward    
Igor                          , Left Winger       
Jonathan Ikone                , Right Winger      
George Ilenikhena             , Centre-Forward    
Andrej Ilic                   , Centre-Forward    
Ivan Ilić                     , Central Midfield  
Luka Ilić                     , Attacking Midfield
Emirhan İlkhan                , Central Midfield  
Ciro Immobile                 , Centre-Forward    
Cyriaque Irié                 , Right Winger      
Tim Iroegbunam                , Central Midfield  
Andy Irving                   , Central Midfield  
Alexander Isak                , Centre-Forward    
Gustav Isaksen                , Right Winger      
Wilson Isidor                 , Centre-Forward    
Ardian Ismajli                , Centre-Back       
Franco Israel                 , Goalkeeper        
Alex Iwobi                    , Left Winger       
Urko Izeta                    , Centre-Forward    
Jairo Izquierdo               , Left-Back         
Nicolas Jackson               , Centre-Forward    
Jérémy Jacquet                , Centre-Back       
Lee Jae-sung                  ,                   
Kristijan Jakić               , Defensive Midfield
Karl Jakob Hein               , Goalkeeper        
Daniel James                  , Right Winger      
Reece James                   , Right-Back        
Vitaly Janelt                 , Defensive Midfield
Lucas Höler                   , Centre-Forward    
Benedict Hollerbach           , Centre-Forward    
Moritz Jenz                   , Centre-Back       
Igor Jesus                    , Centre-Forward    
Juan Jesus                    , Centre-Back       
Álex Jiménez                  , Right-Back        
Raúl Jiménez                  , Centre-Forward    
João Pedro                    , Central Midfield  
Joelinton                     , Central Midfield  
Jofre                         , Right Winger      
Þórir Jóhann Helgason         ,                   
Ísak Jóhannesson              , Central Midfield  
Dennis Johnsen                , Left Winger       
Brennan Johnson               , Right Winger      
Karl-Johan Johnsson           , Goalkeeper        
Sam Johnstone                 , Goalkeeper        
Curtis Jones                  , Central Midfield  
Frenkie de Jong               , Central Midfield  
Josan                         , Attacking Midfield
Mateo Joseph                  , Centre-Forward    
Lazar Jovanović               , Right Winger      
Juanmi                        , Left Winger       
Mathis Jangeal                , Attacking Midfield
Martijn Kaars                 , Centre-Forward    
Mohamed Kaba                  , Central Midfield  
Ozan Kabak                    , Centre-Back       
Christian Kabasele            , Centre-Back       
Anton Kade                    , Right Midfield    
Ferdi Kadioglu                , Left-Back         
Florian Kainz                 , Attacking Midfield
Sasa Kalajdzic                , Centre-Forward    
Arnaud Kalimuendo             , Centre-Forward    
Pierre Kalulu                 , Centre-Back       
Abdulai Juma Bah              , Centre-Back       
Justin-Noël Kalumba           , Right Winger      
Daichi Kamada                 , Attacking Midfield
Warren Kamanzi                , Right-Back        
Abu Kamara                    , Right Winger      
Bingourou Kamara              , Goalkeeper        
Boubacar Kamara               , Defensive Midfield
Hassane Kamara                , Left-Back         
Jakub Kamiński                , Left Winger       
Kevin Kampl                   , Central Midfield  
Harry Kane                    , Centre-Forward    
Lee Kang-in                   ,                   
Adam Karabec                  , Attacking Midfield
Atakan Karazor                , Defensive Midfield
Dermane Karim                 , Defensive Midfield
Lennart Karl                  , Right Winger      
Jesper Karlström              , Defensive Midfield
Jon Karrikaburu               , Centre-Forward    
Grigoris Kastanos             , Attacking Midfield
Panos Katseris                , Right Midfield    
Mikkel Kaufmann               , Centre-Forward    
Aljoscha Kemlein              , Defensive Midfield
Marc-Oliver Kempf             ,                   
Luca Kerber                   , Central Midfield  
Milos Kerkez                  , Left-Back         
Kevin                         , Attacking Midfield
Reda Khadra                   , Attacking Midfield
Bilal El Khannouss            , Attacking Midfield
Rani Khedira                  , Defensive Midfield
Abdukodir Khusanov            , Centre-Back       
Kialonda                      , Centre-Back       
Sota Kawasaki                 , Defensive Midfield
Michael Kayode                , Right-Back        
Moise Kean                    , Centre-Forward    
Michael Keane                 , Centre-Back       
Ilan Kebbal                   , Right Winger      
Yassine Kechta                , Central Midfield  
Thilo Kehrer                  , Centre-Back       
Mandela Keita                 , Defensive Midfield
Caoimhín Kelleher             , Goalkeeper        
Lloyd Kelly                   , Centre-Back       
Robin Koch                    , Centre-Back       
Christian Kofane              , Centre-Forward    
Hervé Koffi                   , Goalkeeper        
Enzo Koffi Vinette            , Right Winger      
Derrick Köhn                  , Left-Back         
Philipp Köhn                  , Goalkeeper        
Dominik Kohr                  , Centre-Back       
Koke                          , Central Midfield  
Luca Koleosho                 , Right Winger      
Adam Kölle                    , Centre-Back       
Kiké                          , Centre-Back       
Semih Kılıçsoy                , Centre-Forward    
Max Kilman                    , Centre-Back       
Joshua Kimmich                , Defensive Midfield
Joshua King                   , Centre-Forward    
Lukas Klostermann             , Centre-Back       
Justin Kluivert               , Attacking Midfield
Ruben Kluivert                , Centre-Back       
Ansgar Knauff                 , Right Winger      
Gregor Kobel                  , Goalkeeper        
Randal Kolo Muani             , Centre-Forward    
Timothée Kolodziejczak        , Centre-Back       
Mert Kömür                    , Attacking Midfield
Ibrahima Konaté               , Centre-Back       
Geoffrey Kondogbia            , Defensive Midfield
Ismaël Koné                   , Central Midfield  
Manu Koné                     , Central Midfield  
Ransford Königsdörffer        , Centre-Forward    
Ezri Konsa                    , Centre-Back       
Teun Koopmeiners              , Attacking Midfield
Odilon Kossounou              , Centre-Back       
Filip Kostić                  , Left Midfield     
Charalampos Kostoulas         , Centre-Forward    
Eddy Kouadio                  , Centre-Back       
Koffi Kouao                   , Right-Back        
Arsène Kouassi                , Left-Back         
Christ-Owen Kouassi           , Right-Back        
Konstantinos Koulierakis      , Centre-Back       
Seny Koumbassa                , Centre-Back       
Jules Koundé                  , Right-Back        
Lancinet Kourouma             , Central Midfield  
Hamza Koutoune                , Right-Back        
Mateo Kovačić                 , Central Midfield  
Goduine Koyalipou             , Centre-Forward    
Alex Král                     , Central Midfield  
Andrej Kramarić               , Attacking Midfield
Vladyslav Krapyvtsov          , Goalkeeper        
Jean-Philippe Krasso          , Centre-Forward    
Tom Krauß                     , Central Midfield  
Ladislav Krejčí               , Centre-Back       
Khvicha Kvaratskhelia         , Left Winger       
Godson Kyeremeh               , Right Winger      
Adrián de la Fuente           , Centre-Back       
Rémy Labeau Lascary           , Centre-Forward    
Maxence Lacroix               , Centre-Back       
Yoel Lago                     , Centre-Back       
Mayckel Lahdo                 , Right Winger      
Konrad Laimer                 , Right-Back        
Kenny Lala                    , Right-Back        
Senne Lammens                 , Goalkeeper        
Rasmus Kristensen             , Right-Back        
Thomas Kristensen             , Centre-Back       
Nikola Krstović               , Centre-Forward    
Lukas Kübler                  , Right-Back        
Takefusa Kubo                 , Right Winger      
Mohammed Kudus                , Right Winger      
Nicolas-Gerrit Kühn           , Right Winger      
Sael Kumbedi                  , Right-Back        
Marash Kumbulla               , Centre-Back       
Jonah Kusi-Asare              , Centre-Forward    
Manuel Lazzari                , Right Midfield    
Théo Le Bris                  , Left Midfield     
Julien Le Cardinal            , Centre-Back       
Enzo Le Fée                   , Central Midfield  
Raphael Le Guen               , Centre-Back       
Robin Le Normand              , Centre-Back       
Nicola Leali                  , Goalkeeper        
Rafael Leão                   , Left Winger       
Pierre Lees-Melou             , Defensive Midfield
Jordan Lefort                 , Centre-Back       
Tariq Lamptey                 , Right-Back        
Noa Lang                      , Left Winger       
Aymeric Laporte               , Centre-Back       
Hugo Larsson                  , Central Midfield  
Jamaal Lascelles              , Centre-Back       
Toni Lato                     , Left-Back         
Josh Laurent                  , Central Midfield  
Armand Lauriente              , Left Winger       
Roméo Lavia                   , Defensive Midfield
Valentino Lazaro              , Right-Back        
Diogo Leite                   , Centre-Back       
Maxim Leitsch                 , Centre-Back       
Florian Lejeune               , Centre-Back       
Youssef Lekhedim              , Left-Back         
Iñigo Lekue                   , Right-Back        
Thomas Lemar                  , Attacking Midfield
Félix Lemaréchal              , Attacking Midfield
Tim Lemperle                  , Centre-Forward    
Clément Lenglet               , Centre-Back       
Bernd Leno                    , Goalkeeper        
Donovan Léon                  , Goalkeeper        
Esteban Lepaul                , Centre-Forward    
Johann Lepenant               , Defensive Midfield
Mehdi Léris                   , Right Winger      
Jefferson Lerma               , Defensive Midfield
Louis Leroux                  , Attacking Midfield
Robert Lewandowski            , Centre-Forward    
Jamie Leweling                , Right Winger      
Rico Lewis                    , Right-Back        
Keane Lewis-Potter            , Left Midfield     
Myles Lewis-Skelly            , Left-Back         
Philipp Lienhart              , Centre-Back       
Matthijs de Ligt              , Centre-Back       
Victor Lindelöf               , Centre-Back       
Jesper Lindstrøm              , Right Winger      
Luca Lipani                   , Defensive Midfield
Pol Lirola                    , Right-Back        
Adrián Liso                   , Left Winger       
Valentino Livramento          , Right-Back        
Javier Llabrés                , Left Winger       
Diego Llorente                , Centre-Back       
Marcos Llorente               , Right-Back        
Gautier Lloris                , Centre-Back       
Giovani Lo Celso              , Attacking Midfield
Danny Loader                  , Centre-Forward    
Stanislav Lobotka             , Defensive Midfield
Manuel Locatelli              , Defensive Midfield
Bradley Locko                 , Left-Back         
Ruben Loftus-Cheek            , Central Midfield  
Sean Longstaff                , Central Midfield  
Ademola Lookman               , Second Striker    
Anthony Lopes                 , Goalkeeper        
David López                   , Centre-Back       
Diego López                   , Goalkeeper        
Fer López                     , Attacking Midfield
Fermin López                  , Attacking Midfield
Javi López                    , Left-Back         
Julien López                  , Left Winger       
Maxime Lopez                  , Defensive Midfield
Pau López                     , Goalkeeper        
Oier Luengo                   , Centre-Back       
Florentino Luís               , Defensive Midfield
José Luis Gayà                , Left-Back         
José Luis Morales             , Centre-Forward    
Douglas Luiz                  , Central Midfield  
Castello Lukeba               , Centre-Back       
Dodi Lukebakio                , Right Winger      
Saša Lukić                    , Central Midfield  
Kristoffer Lund               , Left-Back         
Sebastiano Luperto            , Centre-Back       
Mateus Lusuardi               , Centre-Back       
Zito Luvumbo                  , Centre-Forward    
Charalampos Lykogiannis       , Left-Back         
Senne Lynen                   , Defensive Midfield
Mathias Løvik                 , Left-Back         
Ian Maatsen                   , Left-Back         
Alexis Mac Allister           , Central Midfield  
Deiver Machado                , Left-Back         
Koki Machida                  , Centre-Back       
Lanroy Machine                , Centre-Forward    
Shuto Machino                 , Centre-Forward    
Brian Madjo                   , Centre-Forward    
Noni Madueke                  , Right Winger      
Pablo Maffeo                  , Right-Back        
Gabriel Magalhães             , Centre-Back       
Soungoutou Magassa            , Defensive Midfield
Hugo Magnetti                 , Central Midfield  
Frank Magri                   , Centre-Forward    
Harry Maguire                 , Centre-Back       
Arne Maier                    , Central Midfield  
Mike Maignan                  , Goalkeeper        
Linton Maina                  , Left Winger       
Patrick Mainka                , Centre-Back       
Kobbie Mainoo                 , Central Midfield  
Ainsley Maitland-Niles        , Right-Back        
Radosław Majecki              , Goalkeeper        
Lovro Majer                   , Attacking Midfield
Hamidou Makalou               , Defensive Midfield
Jean-Victor Makengo           , Central Midfield  
Jordy Makengo                 , Left-Back         
Unai López                    , Central Midfield  
Lorran                        , Attacking Midfield
Iker Losada                   , Second Striker    
Tom Louchet                   , Right Midfield    
Marius Louer                  , Right-Back        
Andrija Maksimović            , Attacking Midfield
Said El Mala                  , Left Winger       
Julián Malatini               , Centre-Back       
Daniel Maldini                , Attacking Midfield
Donyell Malen                 , Right Winger      
Ruslan Malinovskyi            , Attacking Midfield
Lennard Maloney               , Defensive Midfield
Giorgi Mamardashvili          , Goalkeeper        
Felix Mambimbi                , Left Winger       
Gianluca Mancini              , Centre-Back       
Reinildo Mandava              , Left-Back         
Aïssa Mandi                   , Centre-Back       
Rolando Mandragora            , Defensive Midfield
Filippo Mane                  , Centre-Back       
Johan Manzambi                , Central Midfield  
Sekou Mara                    , Centre-Forward    
Alessandro Marcandalli        , Centre-Back       
Marcão                        , Centre-Back       
Vincent Marchetti             , Central Midfield  
Pablo Marí                    , Centre-Back       
José María Giménez            , Centre-Back       
Mariano                       , Second Striker    
Luca Marianucci               , Centre-Back       
Rafa Marín                    , Centre-Back       
Marius Marin                  , Defensive Midfield
Pablo Marín                   , Attacking Midfield
João Mário Lopes              , Not Found         
Guillermo Maripán             , Centre-Back       
Omar Marmoush                 , Centre-Forward    
Marquinhos                    , Centre-Back       
Callum Marshall               , Centre-Forward    
Eric Martel                   , Defensive Midfield
Aarón Martín                  , Left-Back         
Gerard Martín                 , Left-Back         
Iván Martín                   , Attacking Midfield
Jon Martin                    , Centre-Back       
Mario Martín                  , Defensive Midfield
Gabriel Martinelli            , Left Winger       
Arnau Martinez                , Right-Back        
Emiliano Martínez             , Goalkeeper        
Josep Martinez                , Goalkeeper        
Lautaro Martínez              , Centre-Forward    
Pablo Martínez                , Centre-Back       
Ramón Martínez                , Centre-Back       
Toni Martínez                 , Centre-Forward    
Adam Marušić                  , Right-Back        
Omar Mascarell                , Defensive Midfield
Adam Masina                   , Centre-Back       
Patrizio Masini               , Central Midfield  
Han-Noah Massengo             , Central Midfield  
Franco Mastantuono            , Right Winger      
Arthur Masuaku                , Left-Back         
Clinton Mata                  , Centre-Back       
Igor Matanovic                , Centre-Forward    
Pape Matar Sarr               , Central Midfield  
Jean-Philippe Mateta          , Centre-Forward    
Nemanja Matić                 , Defensive Midfield
Rudy Matondo                  , Central Midfield  
Chrislain Matsima             , Centre-Back       
Jean Mattéo Bahoya            ,                   
Kylian Mbappé                 , Centre-Forward    
Ibrahim Mbaye                 , Right Winger      
Chancel Mbemba                , Centre-Back       
Bryan Mbeumo                  , Right Winger      
Michel Mboula                 , Centre-Back       
Pathé Mboup                   , Left Winger       
Moustapha Mbow                , Centre-Back       
James Mcatee                  , Attacking Midfield
John McGinn                   , Central Midfield  
Weston McKennie               , Central Midfield  
Mark McKenzie                 , Centre-Back       
Dwight McNeil                 , Left Winger       
Scott McTominay               , Central Midfield  
Facundo Medina                , Centre-Back       
Jonas Meffert                 , Defensive Midfield
Henrik Meister                , Centre-Forward    
Bamo Meïté                    , Centre-Back       
Mohamed Meité                 , Not Found         
Hannibal Mejbri               , Attacking Midfield
Nuno Mendes                   , Left-Back         
Brais Méndez                  , Attacking Midfield
Rodrigo Mendoza               , Central Midfield  
Antoine Mendy                 , Right-Back        
Batista Mendy                 , Defensive Midfield
Formose Mendy                 , Centre-Back       
Nobel Mendy                   , Centre-Back       
Gideon Mensah                 , Left-Back         
Khalis Merah                  , Central Midfield  
Alex Meret                    , Goalkeeper        
Mikel Merino                  , Central Midfield  
Quentin Merlin                , Left-Back         
Rafik Messali                 , Right Midfield    
Junior Messias                , Right Winger      
Connor Metcalfe               , Central Midfield  
Dayann Methalie               , Centre-Back       
Karol Mets                    , Centre-Back       
Thomas Meunier                , Right-Back        
Georges Mikautadze            , Centre-Forward    
Wisdom Mike                   , Left Winger       
William Mikelbrencis          , Right-Back        
Antoni Milambo                , Attacking Midfield
Nikola Milenković             , Centre-Back       
Lewis Miley                   , Central Midfield  
Vanja Milinković-Savić        , Goalkeeper        
Éder Militão                  , Centre-Back       
Luis Milla                    , Central Midfield  
Pere Milla                    , Left Winger       
Lennon Miller                 , Central Midfield  
James Milner                  , Central Midfield  
Veljko Milosavljević          , Centre-Back       
Konstantinos Mavropanos       , Centre-Back       
Christian Mawissa             , Centre-Back       
Eliezer Mayenda               , Centre-Forward    
Borja Mayoral                 , Centre-Forward    
Kim Min-jae                   ,                   
Yerry Mina                    , Centre-Back       
Takumi Minamino               , Left Winger       
Tyrone Mings                  , Centre-Back       
Óscar Mingueza                , Right-Back        
Yankuba Minteh                , Right Winger      
Bojan Miovski                 , Centre-Forward    
Rafa Mir                      , Centre-Forward    
Juan Miranda                  , Left-Back         
Tyrick Mitchell               , Left-Back         
Kaoru Mitoma                  , Left Winger       
Maximilian Mittelstädt        , Left-Back         
Henrikh Mkhitaryan            , Central Midfield  
Rui Modesto                   , Right-Back        
Luka Modrić                   , Central Midfield  
Max Moerstedt                 , Centre-Forward    
Terem Moffi                   , Centre-Forward    
Mostafa Mohamed               , Centre-Forward    
Johan Mojica                  , Left-Back         
Enzo Molebe                   , Centre-Forward    
Alberto Moleiro               , Left Winger       
Nahuel Molina                 , Right-Back        
Jon Moncayola                 , Central Midfield  
Lorenzo Montipò               , Goalkeeper        
Álvaro Morata                 , Centre-Forward    
Morato                        , Centre-Back       
Afonso Moreira                , Left Winger       
Diego Moreira                 , Left Midfield     
Alberto Moreno                , Left-Back         
Álex Moreno                   , Left-Back         
Daren Mosengo                 , Defensive Midfield
Cristhian Mosquera            , Centre-Back       
Daniel Mosquera               , Centre-Forward    
Yerson Mosquera               , Centre-Back       
Mason Mount                   , Attacking Midfield
Samir El Mourabet             , Central Midfield  
Santiago Mouriño              , Right-Back        
Louis Mouton                  , Central Midfield  
Tarik Muharemovic             , Centre-Back       
Miro Muheim                   , Left-Back         
Gerard Moreno                 , Centre-Forward    
Arijanet Muric                , Goalkeeper        
Murillo                       , Centre-Back       
Vedat Muriqi                  , Centre-Forward    
Jacob Murphy                  , Right Winger      
Yunus Musah                   , Central Midfield  
Almoatasem Al Musrati         ,                   
Cheveyo Muy                   , Not Found         
Yvon Mvogo                    , Goalkeeper        
Joel Mvuka                    , Right Winger      
Junior Mwanga                 , Defensive Midfield
Ngal'Ayel Mukau               , Defensive Midfield
Nordan Mukiele                , Left Winger       
Nordi Mukiele                 , Right-Back        
Marshall Munetsi              , Central Midfield  
Rodrigo Muniz                 , Centre-Forward    
Aihen Muñoz                   , Left-Back         
Daniel Muñoz                  , Right-Back        
Iker Muñoz                    , Defensive Midfield
Javier Muñoz                  , Second Striker    
Phillipp Mwene                , Left-Back         
Vitaliy Mykolenko             , Left-Back         
Joakim Mæhle                  ,                   
David Møller Wolfe            , Left-Back         
Obite N'Dicka                 ,                   
Konan N'dri                   ,                   
Bilal Nadir                   , Central Midfield  
Mahamadou Nagida              , Left-Back         
Younes Namli                  , Right Winger      
Sebastian Nanasi              , Left Midfield     
Dan Ndoye                     , Right Winger      
Joseph Nduquidi               , Central Midfield  
Paul Nebel                    , Attacking Midfield
Kosta Nedeljković             , Right-Back        
Loïc Nego                     , Right-Back        
Dan Neil                      , Central Midfield  
Victor Nelsson                , Centre-Back       
David Neres                   , Right Winger      
Martim Neto                   , Central Midfield  
Pedro Neto                    , Right Winger      
Nikolas Nartey                , Central Midfield  
Natan                         , Centre-Back       
Pau Navarro                   , Right-Back        
Roberto Navarro               , Right-Back        
Corrie Ndaba                  , Left-Back         
Michel Ndary Adopo            , Central Midfield  
Iliman Ndiaye                 , Right Winger      
Rassoul Ndiaye                , Defensive Midfield
Quentin Ndjantou Mbitcha      , Left Winger       
Cher Ndour                    , Central Midfield  
Luca Netz                     , Left-Back         
Manuel Neuer                  , Goalkeeper        
Florian Neuhaus               , Central Midfield  
João Neves                    , Central Midfield  
Yvan Neyou                    , Defensive Midfield
Cyril Ngonge                  , Right Winger      
Mikayil Ngor Faye             , Centre-Back       
Nathan Ngoy                   , Centre-Back       
Bernard Nguene                , Centre-Forward    
Rio Ngumoha                   , Left Winger       
Moussa Niakhate               , Centre-Back       
Abdoulaye Niakhate Ndiaye     , Centre-Back       
Tanguy Nianzou                , Centre-Back       
Cheikh Niasse                 , Defensive Midfield
Rasmus Nicolaisen             , Centre-Back       
Moritz Nicolas                , Goalkeeper        
Hans Nicolussi Caviglia       , Central Midfield  
Julian Niehues                , Defensive Midfield
Oliver Nielsen                , Left-Back         
Alieu Njie                    , Left Winger       
Randy Nteka                   , Attacking Midfield
Alexander Nübel               , Goalkeeper        
Matheus Nunes                 , Right-Back        
Álvaro Núñez                  , Right-Back        
Unai Núñez                    , Centre-Back       
Antonio Nusa                  , Left Winger       
Ethan Nwaneri                 , Attacking Midfield
Ørjan Nyland                  , Goalkeeper        
Allan Nyom                    , Right-Back        
Rabby Nzingoula               , Defensive Midfield
M'Bala Nzola                  , Centre-Forward    
Christian Nørgaard            , Defensive Midfield
Jake O'Brien                  , Right-Back        
Matt O'Riley                  , Central Midfield  
Adam Obert                    , Centre-Back       
Jan Oblak                     , Goalkeeper        
Jens Odgaard                  , Attacking Midfield
Wilson Odobert                , Left Winger       
Álvaro Odriozola              , Right-Back        
Noah Okafor                   , Left Winger       
David Okereke                 , Centre-Forward    
Olasagasti                    , Central Midfield  
Michael Olise                 , Right Winger      
Mathías Olivera               , Left-Back         
Dani Olmo                     , Attacking Midfield
Tani Oluwaseyi                , Centre-Forward    
Warmed Omari                  , Centre-Back       
Andrew Omobamidele            , Centre-Back       
Amadou Onana                  , Defensive Midfield
Frank Onyeka                  , Central Midfield  
Loïs Openda                   , Centre-Forward    
Fredrik Oppegard              , Left-Back         
Louis Oppie                   , Left-Back         
Gift Orban                    , Centre-Forward    
Willi Orban                   , Centre-Back       
Christian Ordoñez             , Central Midfield  
Gaetano Oristanio             , Attacking Midfield
Aimar Oroz                    , Attacking Midfield
Riccardo Orsolini             , Right Winger      
Ángel Ortíz                   , Right-Back        
Asier Osambela                , Central Midfield  
Gabriel Osho                  , Centre-Back       
Ibrahim Osman                 , Left Winger       
Patrick Osterhage             , Defensive Midfield
William Osula                 , Centre-Forward    
Sebastian Otoa                , Centre-Back       
Abdoul Ouattara               , Right Winger      
Dango Ouattara                , Left Winger       
Kassoum Ouattara              , Left-Back         
Assan Ouedraogo               , Central Midfield  
Azzedine Ounahi               , Central Midfield  
Elisha Owusu                  , Defensive Midfield
Mikel Oyarzabal               , Centre-Forward    
Daniel Oyegoke                , Right-Back        
Salih Özcan                   , Defensive Midfield
Berke Özer                    , Goalkeeper        
Cenk Özkacar                  , Centre-Back       
Nico O’Reilly                 ,                   
Jon Pacheco                   , Centre-Back       
Willian Pacho                 , Centre-Back       
Justin Njinmah                , Right Winger      
Obed Nkambadio                , Goalkeeper        
Diego Pampín                  , Left-Back         
Joaquín Panichelli            , Centre-Forward    
Leart Paqarada                ,                   
Lucas Paquetá                 , Attacking Midfield
Victor Parada                 , Left-Back         
Aitor Paredes                 , Centre-Back       
Daniel Parejo                 , Central Midfield  
Fabiano Parisi                , Left-Back         
Thomas Partey                 , Defensive Midfield
Mario Pašalić                 , Central Midfield  
Kendry Páez                   , Attacking Midfield
Pablo Pagis                   , Centre-Forward    
Igor Paixão                   , Left Winger       
Exequiel Palacios             , Central Midfield  
Isaac Palazón Camacho         , Second Striker    
Marco Palestra                , Right-Back        
João Palhinha                 , Defensive Midfield
Matteo Palma                  , Centre-Back       
Cole Palmer                   , Attacking Midfield
Emerson Palmieri              , Left-Back         
Patric                        , Defensive Midfield
Bradley Paul Burrowes         ,                   
Benjamin Pavard               , Centre-Back       
Aleksandar Pavlovic           , Defensive Midfield
Strahinja Pavlović            , Centre-Back       
Leonardo Pavoletti            , Centre-Forward    
Martín Payero                 , Central Midfield  
Nicolás Paz                   , Attacking Midfield
Marcus Pedersen               , Right-Back        
Alfonso Pedraza               , Left-Back         
Pedri                         , Central Midfield  
Pedro                         , Right Winger      
Zé Pedro Figueiredo           , Centre-Back       
Adrià Pedrosa                 , Left-Back         
Dženan Pejčinović             , Centre-Forward    
Lorenzo Pellegrini            , Attacking Midfield
Luca Pellegrini               , Left-Back         
Mateo Pellegrino              , Centre-Forward    
Faris Pemi Moumbagna          , Centre-Forward    
Iñaki Peña                    , Goalkeeper        
Mike Penders                  , Goalkeeper        
Nicolas Pépé                  , Right Winger      
Kojo Peprah Oppong            , Centre-Back       
Peque                         , Second Striker    
Mathias Pereira Lage          , Left Winger       
Ayoze Pérez                   , Centre-Forward    
Francisco Perez               , Right Winger      
Romain Perraud                , Left-Back         
Lucas Perri                   , Goalkeeper        
Máximo Perrone                , Defensive Midfield
Prosper Peter                 , Centre-Forward    
Léo Pétrot                    , Left-Back         
Đorđe Petrović                ,                   
Giuseppe Pezzella             , Left-Back         
Immanuel Pherai               , Attacking Midfield
Rayan Philippe                , Right Winger      
Gabriele Piccinini            , Central Midfield  
Roberto Piccoli               , Centre-Forward    
Charles Pickel                , Defensive Midfield
Jordan Pickford               , Goalkeeper        
Amos Pieper                   , Centre-Back       
Marvin Pieringer              , Centre-Forward    
Nicholas Pierini              , Right Winger      
Santiago Pierotti             , Right Winger      
Balthazar Pierret             , Defensive Midfield
Andrea Pinamonti              , Centre-Forward    
Lander Pinillos               , Attacking Midfield
Ethan Pinnock                 , Centre-Back       
Yeremi Pino                   , Not Found         
Jakub Piotrowski              , Central Midfield  
Joël Piroe                    , Centre-Forward    
Niccolò Pisilli               , Central Midfield  
Damián Pizarro                , Centre-Forward    
Tommaso Pobega                , Central Midfield  
Ernest Poku                   , Right Winger      
Matteo Politano               , Right Winger      
Marin Pongračić               , Centre-Back       
Nick Pope                     , Goalkeeper        
Pedro Porro                   , Right-Back        
Portu                         , Right Winger      
Marc Pubill                   , Right-Back        
Cameron Puertas               , Attacking Midfield
Christian Pulisic             , Right Winger      
Arkadiusz Pyrka               , Right-Back        
Jarell Quansah                , Centre-Back       
